tid,mjd,fid,diffmaglim
"ztf",59264.372928199824,2,20.7851
"ztf",59266.35971060023,2,19.6938
"ztf",59268.415011600126,2,20.065
"ztf",59268.43462960003,1,20.1015
"ztf",59270.33966440009,2,19.4762
"ztf",59275.22577549983,1,19.0065
"ztf",59275.38092589984,2,19.6119
"ztf",59278.31620369991,1,20.4599
"ztf",59278.401782399975,2,20.0187
"ztf",59281.28736109985,2,20.3629
"ztf",59291.293553200085,1,20.6607
"ztf",59291.35422449978,2,20.5483
"ztf",59298.304861099925,2,18.8541
"ztf",59315.27539349999,1,19.1563
"ztf",59325.32376160007,1,19.9954
"ztf",59340.2126042,1,20.7544
"ztf",59353.23415509984,1,19.7962
"ztf",59357.205567100085,1,18.8141
"ztf",59359.25505790021,1,19.1148
