tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",59683.294421299826,"1929294423415015005",1,1929294423415,19.391539,1,1929,3.7323415,18.078587,"","",18.0046,"",0.092193544,"","",0.0912,"",174.248963,55.1639468,0.8742857,"t17_f5_c3",0.99999774,17.9691,0.113,788120134,true,false,false,"","correction_1.0.6",0,""
"ztf",59683.36092589982,"1929360923415015012",2,1929360923415,19.852379,1,1929,2.9103577,18.240889,"","",18.3384,"",0.06623737,"","",0.1109,"",174.2489621,55.1639605,0.9514286,"t17_f5_c3",0.9999981,18.3253,0.1405,788120234,true,false,false,"","correction_1.0.6",0,""
"ztf",59684.28405090002,"1930284054615015006",1,1930284054615,19.400251,1,1930,1.2124994,18.234737,18.024946,"",18.1421,"",0.08743303,0.06938179,0.0720708,0.1049,"",174.2489649,55.1639319,0.94285715,"t17_f5_c3",0.99999964,18.017,0.1198,789120146,true,true,true,"","correction_1.0.6",0,""
"ztf",59684.3264930998,"1930326494615015007",2,1930326494615,19.710257,1,1930,2.4118242,18.22742,"","",18.246,"",0.06133349,"","",0.1063,"",174.2489553,55.1639559,0.9185714,"t17_f5_c3",0.99999964,18.093,0.1184,789120246,true,false,false,"","correction_1.0.6",0,""
"ztf",59685.23851849977,"1931238513415015007",2,1931238513415,19.836449,1,1931,2.9383242,18.46356,"","",18.6823,"",0.08645511,"","",0.1528,"",174.248979,55.1639621,0.92,"t17_f5_c3",0.99999666,18.6436,0.1893,788120234,true,false,false,"","correction_1.0.6",0,""
"ztf",59685.38369210018,"1931383693415015007",1,1931383693415,18.995262,1,1931,3.9598525,18.60507,"","",18.6476,"",0.1378789,"","",0.2221,"",174.2490481,55.1639897,0.81142855,"t17_f5_c3",0.99998045,18.6056,0.2744,788120134,true,false,false,"","correction_1.0.6",0,""
"ztf",59687.36089120014,"1933360894615015010",2,1933360894615,19.669281,1,1933,2.4002898,19.364195,"","",19.2673,"",0.21335588,"","",0.2727,"",174.2489543,55.1639528,0.7771429,"t17_f5_c3",0.99300075,19.4602,0.4178,789120246,true,false,false,"","correction_1.0.6",0,""
"ztf",59688.2810531999,"1934281053415015004",1,1934281053415,19.7111,1,1934,3.83861,20.0241,"","",20.4314,"",0.2819,"","",0.6652,"",174.2489169,55.1640059,0.61,"t17_f5_c3","",20.6209,1.0179,"",false,false,false,"","correction_1.0.6",0,1934343883415015000
"ztf",59688.34388889978,"1934343883415015004",2,1934343883415,19.244484,1,1934,2.9693115,19.197264,"","",19.5423,"",0.20795515,"","",0.4732,"",174.2488663,55.1640299,0.8371429,"t17_f5_c3",0.99904484,19.8307,0.7933,788120234,true,false,false,"","correction_1.0.6",0,""
"ztf",59689.26325230021,"1935263254615015013",2,1935263254615,19.916561,1,1935,2.451105,18.903019,"","",18.842,"",0.108783856,"","",0.1199,"",174.2489581,55.16397,0.7814286,"t17_f5_c3",0.99999774,18.8235,0.151,789120246,true,false,false,"","correction_1.0.6",0,""
"ztf",59689.283402800094,"1935283404615015008",1,1935283404615,19.682991,1,1935,1.1403121,19.38543,18.864906,"",19.5495,"",0.18597013,0.107100405,0.115142025,0.2237,"",174.2489844,55.1638869,0.47714287,"t17_f5_c3",0.9387356,19.5796,0.2949,789120146,true,true,true,"","correction_1.0.6",0,""
"ztf",59690.24104169989,"1936241043415015023",2,1936241043415,20.501411,1,1936,2.9469483,18.919432,"","",18.7332,"",0.09099822,"","",0.0893,"",174.248991,55.1639588,0.9257143,"t17_f5_c3",0.99999964,18.6437,0.105,788120234,true,false,false,"","correction_1.0.6",0,""
"ztf",59690.283321800176,"1936283323415015014",1,1936283323415,20.61918,1,1936,3.8097062,19.635439,"","",19.6181,"",0.12498931,"","",0.1696,"",174.2490069,55.1639541,0.9257143,"t17_f5_c3",0.99999875,19.5901,0.2113,788120134,true,false,false,"","correction_1.0.6",0,""
"ztf",59693.23635420017,"1939236354615015017",1,1939236354615,20.44052,1,1939,1.1016785,19.057892,18.650778,"",19.1604,"",0.09332218,0.05393942,0.06414148,0.1213,"",174.2489501,55.1638945,0.93857145,"t17_f5_c3",0.9999976,19.1716,0.1564,789120146,true,true,true,"","correction_1.0.6",0,""
"ztf",59693.265173600055,"1939265174615015007",2,1939265174615,20.347834,1,1939,2.4702582,18.460304,"","",18.2907,"",0.06390495,"","",0.067,"",174.2489949,55.1639586,0.93714285,"t17_f5_c3",0.99999994,18.2432,0.0818,789120246,true,false,false,"","correction_1.0.6",0,""
"ztf",59694.1849769,"1940184973415015013",2,1940184973415,20.423038,1,1940,2.8914769,18.35688,"","",18.4382,"",0.059215985,"","",0.0755,"",174.2489633,55.1639525,0.95,"t17_f5_c3",0.9999958,18.3828,0.0915,788120234,true,false,false,"","correction_1.0.6",0,""
"ztf",59694.364618100226,"1940364613415015012",1,1940364613415,20.07076,1,1940,3.7051008,19.057583,"","",19.0159,"",0.12845786,"","",0.1355,"",174.2490337,55.1639009,0.95285714,"t17_f5_c3",0.99999607,19.0802,0.1836,788120134,true,false,false,"","correction_1.0.6",0,""
"ztf",59696.202094899956,"1942202093415015027",1,1942202093415,20.810278,1,1942,3.8237119,18.778406,"","",18.6213,"",0.084310435,"","",0.0634,"",174.2490025,55.1639614,0.94714284,"t17_f5_c3",0.9999848,18.6073,0.0792,788120134,true,false,false,"","correction_1.0.6",0,""
