         MJD         m       dm      uJy  duJy F  err   chi/N       RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    duJy_new  uJy_offset
57233.267745 17.344465      NaN   160.88    78 o    0    1.96 196.6049 53.47931  9893.84  7019.36  3.92 3.23 -89.8 -0.467    18.37 19.27 02a57233o0018o   0x2000   81.743573      -24.12
57233.279802 18.481707      NaN   -76.12    49 o    0    1.99 196.6049 53.47931   426.64  7055.90  3.76 3.53 -64.2 -0.449    18.30 19.12 02a57233o0027o   0x2000   54.763233      -24.12
57365.632120 19.155932      NaN   -17.12    24 o    0    1.82 196.6049 53.47931  9986.56  3768.33  3.78 3.48  66.2 -0.479    19.04 20.54 02a57365o0676o   0x0000   34.263854      -24.12
57365.642729 18.431198      NaN    39.88    30 o    0    1.88 196.6049 53.47931   531.99  3755.22  4.96 3.82 -41.3 -0.414    18.98 20.55 02a57365o0692o 0x400100   38.704156      -24.12
57365.650143 18.590371      NaN    36.88    24 o    0    2.67 196.6049 53.47931  9730.07  3202.14  3.90 3.66  45.8 -0.469    19.03 20.58 02a57365o0703o  0x80000   34.263854      -24.12
57365.660453 18.336727      NaN    23.88    40 o    0    2.13 196.6049 53.47931   252.30  3160.12  5.36 3.89 -34.3 -0.392    18.52 19.70 02a57365o0719o  0x80000   46.882958      -24.12
57386.567710 19.051202      NaN   -41.12    29 o    0    1.68 196.6049 53.47931  9970.72  3750.21  3.67 3.28  66.3 -0.479    18.82 20.04 02a57386o0605o  0x80000   37.934308      -24.12
57386.584462 18.847027      NaN   -47.12    35 o    0    3.06 196.6049 53.47931   514.38  3745.06  4.81 3.48 -43.1 -0.460    18.84 20.08 02a57386o0623o  0x80000   42.696741      -24.12
57386.585097 19.051202      NaN   -50.12    29 o    0    1.92 196.6049 53.47931  9690.19  3186.73  3.63 3.30  54.9 -0.496    18.88 20.13 02a57386o0624o   0x0000   37.934308      -24.12
57386.594953 18.089294      NaN    75.88    37 o    0    4.29 196.6049 53.47931   219.33  3142.93  5.15 3.45 -40.1 -0.454    18.90 20.15 02a57386o0640o  0x80000   44.351006      -24.12
57386.603600 18.542463      NaN    18.88    32 o    0    3.60 196.6049 53.47931  1084.27  4362.23  4.47 3.46 -46.3 -0.480    18.88 20.15 02a57386o0654o  0x80000   40.274207      -24.12
57386.615416 18.356290      NaN    35.88    35 o    0    3.44 196.6049 53.47931  1372.01  2632.59  5.06 3.69 -34.1 -0.465    18.89 20.25 02a57386o0670o  0x80000   42.696741      -24.12
57387.562785 18.990530      NaN   -16.12    28 o    0    1.53 196.6049 53.47931  9971.50  3748.17  3.59 3.18  81.2 -0.491    18.95 20.01 02a57387o0600o   0x0000   37.175418      -24.12
57387.572011 18.933071      NaN   -14.12    29 o    0    4.66 196.6049 53.47931   519.33  3741.97  4.53 3.49 -42.6 -0.448    18.93 19.97 02a57387o0615o  0x80000   37.934308      -24.12
57387.572625 19.351140      NaN   -77.12    22 o    0    2.54 196.6049 53.47931  9692.97  3181.68  3.57 3.27  71.5 -0.496    18.99 20.05 02a57387o0616o   0x0000   32.893947      -24.12
57387.581844 18.878500      NaN    -6.12    28 o    0    4.53 196.6049 53.47931   222.73  3140.93  4.90 3.54 -40.7 -0.421    18.96 20.05 02a57387o0631o  0x80000   37.175418      -24.12
