tid,mjd,fid,diffmaglim
"ztf",58733.45309029985,1,20.8062
"ztf",58736.41934029991,2,20.4824
"ztf",58736.47376159998,1,20.8301
"ztf",58738.15083329985,2,18.9061
"ztf",58738.17780089984,1,18.999
"ztf",58739.148553200066,2,18.5162
"ztf",58739.17671300005,1,18.5801
"ztf",58740.14871530002,2,18.2243
"ztf",58740.18089119997,1,18.5571
"ztf",58741.14875000017,2,18.4201
"ztf",58741.177766200155,1,18.7771
"ztf",58743.148668999784,2,19.239
"ztf",58743.17834489979,1,19.1228
"ztf",58744.14877310023,2,19.877
"ztf",58744.17734949989,1,20.0002
"ztf",58745.14880790003,2,20.1975
"ztf",58745.17745369999,1,20.4459
"ztf",58746.14857639978,2,19.8836
"ztf",58746.20194440009,1,20.2974
"ztf",58747.14842589991,2,20.0506
"ztf",58747.17734949989,1,20.3117
"ztf",58748.14743060013,2,18.9251
"ztf",58748.17645830009,1,20.2252
"ztf",58749.1486343001,2,20.0214
"ztf",58749.17797450023,1,20.4079
"ztf",58750.148611099925,2,19.7071
"ztf",58750.17828699993,1,19.6143
"ztf",58751.1474768999,2,19.7915
"ztf",58751.17592590023,1,20.322
"ztf",58754.147083300166,2,20.4938
"ztf",58754.1755903,1,20.2025
"ztf",58758.156018500216,2,20.0841
"ztf",58758.18479169998,1,20.3489
"ztf",58760.14849539986,2,20.1894
"ztf",58760.177210600115,1,20.4234
"ztf",58771.19354170002,1,19.032
"ztf",58802.221793999895,1,19.9717
"ztf",58806.17807869986,1,19.3932
"ztf",58814.10748839984,1,18.954
"ztf",58819.13891200023,2,16.7993
"ztf",58819.19197920011,1,18.5974
"ztf",58835.08549770014,2,18.8838
"ztf",58835.13130789995,1,18.4516
"ztf",58838.130347200204,1,19.6018
"ztf",58846.09930559993,1,20.4273
"ztf",58850.09675930021,2,17.5844
"ztf",58850.159097199794,1,19.7546
"ztf",58853.08932870021,1,19.6496
"ztf",58853.142777800094,2,19.1132
"ztf",58856.08932870021,1,19.9618
