tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",59293.235347200185,"1539235343215015013",2,1539235343215,20.269354,1,1539,3.8683252,18.201717,"","",18.155,"",0.05962208,"","",0.0549,"",183.0428728,13.2491757,0.93714285,"t17_f5_c3",0.9999988,18.1346,0.0685,524120232,true,false,false,"","correction_0.0.1",0,""
"ztf",59293.29436339997,"1539294363215015003",1,1539294363215,20.447935,1,1539,1.1746166,17.764894,17.731157,"",17.7755,"",0.053732023,0.051893506,0.052088045,0.0322,"",183.0428934,13.2491746,0.94714284,"t17_f5_c3",0.9999999,17.7514,0.0395,524120132,true,true,false,"","correction_0.0.1",0,""
"ztf",59296.35429400019,"1542354293215015004",1,1542354293215,19.828568,1,1542,1.2496185,18.132769,18.085716,"",18.1857,"",0.07532263,0.071858115,0.072128065,0.0723,"",183.0429197,13.2491615,0.94857144,"t17_f5_c3",0.99999976,18.2197,0.0951,524120132,true,true,false,"","correction_0.0.1",0,""
"ztf",59296.3591781999,"1542359173215015006",2,1542359173215,19.776192,1,1542,3.931522,17.923433,"","",17.991,"",0.054295383,"","",0.0656,"",183.0429144,13.2491751,0.93857145,"t17_f5_c3",1,17.9136,0.078,524120232,true,false,false,"","correction_0.0.1",0,""
"ztf",59298.39475690015,"1544394753215015003",1,1544394753215,19.247955,1,1544,1.2074333,18.320227,18.26453,"",18.2787,"",0.09998873,0.094703965,0.09498881,0.1448,"",183.0428999,13.2491672,0.94714284,"t17_f5_c3",1,18.312,0.1917,524120132,true,true,false,"","correction_0.0.1",0,""
"ztf",59302.2555670999,"1548255563215015021",2,1548255563215,18.9354,1,1548,3.93695,17.3509,"","",17.3663,"",0.056829,"","",0.0901,"",183.0428813,13.2491931,0.92,"t17_f5_c3","",17.2693,0.1057,"",false,false,false,"","correction_0.0.1",0,""
"ztf",59302.354259300046,"1548354253215015017",1,1548354253215,18.9418,1,1548,1.07717,17.7034,17.671494,"",17.6671,"",0.071431,0.06923161,0.06936237,0.1177,"",183.0429038,13.2492075,0.945714,"t17_f5_c3","",17.5479,0.1355,"",false,true,false,"","correction_0.0.1",0,""
"ztf",59304.257928200066,"1550257923215015004",1,1550257923215,19.423477,1,1550,1.1439328,17.57875,17.550259,"",17.6229,"",0.06862393,0.06673804,0.06684656,0.0633,"",183.0429097,13.2491896,0.9442857,"t17_f5_c3",0.9999995,17.5887,0.0784,524120132,true,true,false,"","correction_0.0.1",0,""
"ztf",59304.30233799992,"1550302333215015013",2,1550302333215,19.506512,1,1550,3.932951,17.157001,"","",17.1655,"",0.04226162,"","",0.0428,"",183.0429238,13.2491706,0.9457143,"t17_f5_c3",0.99999994,17.1608,0.0543,524120232,true,false,false,"","correction_0.0.1",0,""
"ztf",59307.25349539984,"1553253493215015012",2,1553253493215,20.43778,1,1553,3.9593008,17.09986,"","",17.0824,"",0.036977574,"","",0.0204,"",183.0429137,13.2491842,0.9285714,"t17_f5_c3",0.999985,17.067,0.025,524120232,true,false,false,"","correction_0.0.1",0,""
"ztf",59307.31163189979,"1553311633215015007",1,1553311633215,20.82866,1,1553,1.1780697,17.614548,17.585114,"",17.5775,"",0.041491155,0.040189624,0.040381465,0.0238,"",183.042904,13.249178,0.9457143,"t17_f5_c3",0.99995804,17.5658,0.029,524120132,true,true,false,"","correction_0.0.1",0,""
"ztf",59309.27019680012,"1555270193215015010",2,1555270193215,20.599333,1,1555,3.9257305,17.138462,"","",17.1014,"",0.03374543,"","",0.0196,"",183.0429071,13.2491777,0.93285716,"t17_f5_c3",0.9999999,17.0827,0.0237,524120232,true,false,false,"","correction_0.0.1",0,""
"ztf",59309.31104170019,"1555311043215015006",1,1555311043215,20.593647,1,1555,1.1845595,17.839785,17.803677,"",17.8323,"",0.047850065,0.046034496,0.046284925,0.0324,"",183.0428963,13.2491728,0.95,"t17_f5_c3",0.99999994,17.734,0.0372,524120132,true,true,false,"","correction_0.0.1",0,""
"ztf",59311.233981499914,"1557233983215015007",1,1557233983215,20.485872,1,1557,1.1629951,18.137123,18.089886,"",18.0893,"",0.07728456,0.07372902,0.073994175,0.0461,"",183.0428979,13.2491798,0.95714283,"t17_f5_c3",0.9999892,18.0289,0.055,524120132,true,true,false,"","correction_0.0.1",0,""
"ztf",59311.30894679995,"1557308943215015007",2,1557308943215,20.658415,1,1557,3.9246204,17.299755,"","",17.2691,"",0.039410412,"","",0.0218,"",183.0428993,13.2491822,0.93,"t17_f5_c3",0.99997985,17.2535,0.0266,524120232,true,false,false,"","correction_0.0.1",0,""
"ztf",59313.25517359981,"1559255173215015009",1,1559255173215,20.582544,1,1559,1.1877666,18.519472,18.452894,"",18.513,"",0.07464019,0.06965413,0.07020073,0.0612,"",183.0428951,13.2491716,0.95285714,"t17_f5_c3",0.99999833,18.6033,0.084,524120132,true,true,false,"","correction_0.0.1",0,""
"ztf",59313.295578700025,"1559295573215015006",2,1559295573215,19.975563,1,1559,3.9729652,17.45409,"","",17.4654,"",0.052749764,"","",0.0423,"",183.0429015,13.2491955,0.94714284,"t17_f5_c3",0.99999714,17.4857,0.0545,524120232,true,false,false,"","correction_0.0.1",0,""
"ztf",59315.25300930021,"1561253003215015002",2,1561253003215,17.0936,1,1561,3.96697,17.4804,"","",18.0606,"",0.267328,"","",0.9721,"",183.0428584,13.2492129,0.598571,"t17_f5_c3","",17.36,0.6557,"",false,false,false,"","correction_0.0.1",0,""
"ztf",59317.207812500186,"1563207813215015015",2,1563207813215,20.627571,1,1563,3.9027994,17.83609,"","",17.8342,"",0.052772168,"","",0.0331,"",183.0428949,13.2491758,0.93285716,"t17_f5_c3",0.9999796,17.7788,0.0395,524120232,true,false,false,"","correction_0.0.1",0,""
"ztf",59317.207812500186,"1563207813215025015",2,1563207813215,20.6276,1,1563,3.9028,17.8361,"","",17.8342,"",0.052772,"","",0.0331,"",183.0428949,13.2491758,0.932857,"t17_f5_c3","",17.7788,0.0395,"",false,false,false,"","correction_0.0.1",0,""
"ztf",59321.253275500145,"1567253273215015014",1,1567253273215,20.76205,1,1567,1.3265729,19.476133,19.321903,"",19.2292,"",0.110573515,0.09393533,0.0959311,0.1042,"",183.0429205,13.2491398,0.8371429,"t17_f5_c3",0.9999878,19.1763,0.1266,524120132,true,true,false,"","correction_0.0.1",0,""
"ztf",59321.29083329998,"1567290833215015005",2,1567290833215,20.633896,1,1567,3.9443316,18.134653,"","",18.0965,"",0.054122522,"","",0.0422,"",183.042915,13.2491788,0.94285715,"t17_f5_c3",0.9999969,18.0772,0.0523,524120232,true,false,false,"","correction_0.0.1",0,""
"ztf",59323.28026620019,"1569280263215015007",1,1569280263215,20.253649,1,1569,1.2278012,19.484327,19.32901,"",19.6857,"",0.13397023,0.11444793,0.11611309,0.2074,"",183.0429309,13.2491723,0.9028571,"t17_f5_c3",0.99999917,19.5551,0.2361,524120132,true,true,false,"","correction_0.0.1",0,""
"ztf",59323.31745370012,"1569317453215015007",2,1569317453215,20.362926,1,1569,3.8981674,18.243658,"","",18.1935,"",0.060500503,"","",0.0562,"",183.0429007,13.2491714,0.9514286,"t17_f5_c3",0.9999906,18.1004,0.0657,524120232,true,false,false,"","correction_0.0.1",0,""
