tid,mjd,fid,diffmaglim
"ztf",59406.217430599965,1,20.711
"ztf",59406.25459490018,2,20.6096
"ztf",59408.19241899997,1,20.5256
"ztf",59408.23521990003,2,20.4542
"ztf",59410.19754630001,1,20.4721
"ztf",59410.23541670013,2,20.236
"ztf",59412.372511600144,2,19.8893
"ztf",59415.19699069997,2,20.1868
"ztf",59417.23446760001,2,16.7861
"ztf",59419.214062499814,1,19.3368
"ztf",59419.283067100216,2,18.545
"ztf",59423.21843749983,1,20.756
"ztf",59423.243495400064,2,20.3335
"ztf",59425.20775459986,2,20.6093
"ztf",59425.22331020003,1,20.6949
"ztf",59427.21552080009,2,20.5964
"ztf",59427.261979199946,1,20.6024
"ztf",59429.27512730006,1,20.5158
"ztf",59468.15298609994,1,20.5026
"ztf",59470.19799769996,1,20.2102
"ztf",59473.18498839997,1,20.0391
"ztf",59476.1618170999,1,19.4625
"ztf",59476.19509259984,2,19.2081
"ztf",59480.161041699816,1,19.7995
"ztf",59485.17814810015,1,19.8933
"ztf",59487.18452550005,1,19.6808
