# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-06-27 at 13:22:00
#
# Requested input R.A. = 152.54166004615385 degrees
# Requested input Dec. = -11.0805483 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460123.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 366 7 3 ZTF_g 450216432715 0 3.5054 216.652 13.2537 26.2052 4.2729e-05 0.0460711 -0.0825639 9.66033e-05 379 30. 0.07541 0.065171 19.0965 26.2052 1 2458204.7164352 366120127 100.043474622246 86.7460792655656 1.28290268244652 0.974278510551434 166.330556549013 119.157598944414 1.40528849104536 1.08155713009708 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 1 366 7 3 ZTF_g 450281032715 0 3.255 215.852 13.2805 26.1949 3.26345e-05 0.0420844 -0.0679319 7.47149e-05 406 30. 0.057572 0.056177 19.1492 26.1949 1 2458204.7810301 366120127 -21.4941800720454 74.9029751736536 -0.319210093701619 1.06206641999009 -73.0893468550716 107.889446912317 -0.682009315249616 1.06417456768138 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 2 366 7 3 ZTF_g 453263402715 0 2.0927 219.396 20.5386 26.2031 2.58431e-05 0.0376133 -0.0233014 5.87474e-05 408 30. 0.042952 0.049154 19.1015 26.2031 1 2458207.7634028 366120127 130.712646276734 97.1006214604044 1.49744334013573 0.885120807587475 176.062582436675 175.087998930624 1.01233879615794 1.04686465973895 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 3 366 7 3 ZTF_g 453285282715 0 2.3287 213.705 21.3155 26.1811 3.39878e-05 0.0407231 -0.0406959 7.70798e-05 372 30. 0.04521 0.047817 18.9528 26.1811 1 2458207.7852894 366120127 63.3436462426986 101.699858389361 0.692847272909603 0.913668606555598 -159.95863094528 177.115150267432 -0.909216186671489 1.05159781803269 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 4 366 7 3 ZTF_g 456262702715 0 2.4107 156.039 16.9005 25.8059 3.41004e-05 0.0387351 -0.0168272 7.94783e-05 337 30. 0.050508 0.053201 18.7762 25.8059 1 2458210.7627083 366120127 -89.6962215601338 80.2527642296427 -1.24328000660143 1.17203890754408 81.575695069925 130.698332346598 0.628356235272262 1.06653634157181 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 5 366 7 3 ZTF_g 456276382715 0 2.5584 168.445 16.5243 25.8719 3.79745e-05 0.0421976 -0.0106938 8.90581e-05 354 30. 0.048752 0.056341 18.8196 25.8719 1 2458210.7763889 366120127 124.550110003325 80.6900984410531 1.71703311545804 1.15145465007816 167.618419822747 126.601934182286 1.3328970099398 1.07810315241539 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 6 366 7 3 ZTF_r 464193372715 0 1.946 376.978 7.4766 26.1353 5.8556e-06 0.0229889 0.10637 9.25994e-06 641 30. 0.047492 0.045782 20.2616 26.1353 1 2458218.6933796 366120227 39.5101506113411 28.4328199146722 1.54576529323223 0.957989975755691 46.0144900751306 54.6850316636621 0.84711298327744 1.03457239198519 2.97316674906459 18.2790001869202 0.0829999968409538 6.49700021743774 0.405000001192093 2458182.827650 2458450.011227 0
 7 366 7 3 ZTF_r 464219952715 0 2.0167 346.555 7.92282 26.0573 7.3724e-06 0.0258981 0.103889 1.17166e-05 643 30. 0.05214 0.049093 20.0713 26.0573 1 2458218.7199537 366120227 12.2036873405985 31.6453886384949 0.428978414674427 0.986638291985357 14.4182221642617 58.9371438570104 0.246284919325329 1.03946584400972 2.97316674906459 18.2790001869202 0.0829999968409538 6.49700021743774 0.405000001192093 2458182.827650 2458450.011227 0
 8 366 7 3 ZTF_r 469178512715 0 1.8698 384.973 6.62693 26.1688 5.0748e-06 0.0215327 0.105204 8.05282e-06 644 30. 0.043106 0.04533 20.4132 26.1688 1 2458223.6785185 366120227 27.9082264408228 25.8441900058015 1.20122431317237 0.998823524412456 -3.03785723976604 50.0747316724637 -0.0610750628293527 1.03430993878253 2.97316674906459 18.2790001869202 0.0829999968409538 6.49700021743774 0.405000001192093 2458182.827650 2458450.011227 0
