index,JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin
0,2458288.9616898,ZTF_r,23.73080254402857,,21.781697099025713,,ztf
1,2458297.9238657,ZTF_r,,,21.62096721280703,,ztf
2,2458300.9184259,ZTF_r,21.785425758738626,,20.89856283514011,,ztf
3,2458300.9595139,ZTF_g,,,,,ztf
4,2458312.9398958,ZTF_r,,,,,ztf
5,2458312.9793981,ZTF_g,,,,,ztf
6,2458318.9398264,ZTF_g,,,,,ztf
7,2458321.9399769,ZTF_g,,,,,ztf
8,2458321.9812037,ZTF_r,,,,,ztf
9,2458324.9813079,ZTF_r,,,22.883138067220678,,ztf
10,2458327.9173611,ZTF_r,,,,,ztf
11,2458333.9599537,ZTF_g,,,22.049850198081963,,ztf
12,2458333.9840394,ZTF_r,21.202352766326577,22.011700123145623,20.74384155342985,,ztf
13,2458336.93875,ZTF_r,,,22.559827744078518,,ztf
14,2458336.982662,ZTF_g,23.43994085591688,,22.1922911488883,,ztf
15,2458342.9360417,ZTF_g,,,23.205474694485886,,ztf
16,2458342.9626505,ZTF_r,23.51017839832088,,22.288898483495316,,ztf
17,2458345.8768866,ZTF_r,21.838902889265725,22.51183625859531,21.426575285824114,,ztf
18,2458345.8805556,ZTF_r,,,26.437864853330588,,ztf
19,2458345.9130787,ZTF_g,,,,,ztf
20,2458345.9139815,ZTF_g,,,24.156809847581616,,ztf
21,2458346.8557523,ZTF_g,,,,,ztf
22,2458346.9168403,ZTF_r,21.555053062368636,22.02808285020795,21.22666968724237,,ztf
23,2458347.8363542,ZTF_g,,,23.37672565943606,,ztf
24,2458347.9004167,ZTF_r,22.945617581579466,,22.129933621709075,,ztf
25,2458348.8772454,ZTF_g,21.755128809709042,22.195392747917065,21.4427640733463,,ztf
26,2458348.8809144,ZTF_g,,,,,ztf
27,2458348.9117593,ZTF_r,,,,,ztf
28,2458348.9126736,ZTF_r,,,,,ztf
29,2458349.8521065,ZTF_r,,,,,ztf
30,2458350.9168056,ZTF_r,22.020123110309466,22.607441166491384,21.641086272021838,,ztf
31,2458350.9212384,ZTF_g,,,,,ztf
32,2458351.8713079,ZTF_r,24.281072403500275,,22.606934833841912,,ztf
33,2458351.8722222,ZTF_r,22.848281880541926,25.91000576009953,22.128558644952676,,ztf
34,2458351.919294,ZTF_g,,,23.25934005842947,,ztf
35,2458351.9202083,ZTF_g,23.217149887713184,,22.342136421067185,,ztf
36,2458352.8323264,ZTF_r,,,22.819343393792565,,ztf
37,2458353.8754282,ZTF_r,,,,,ztf
38,2458353.8983681,ZTF_r,21.50923906252457,22.29033405822702,21.05966833125504,,ztf
39,2458353.9601157,ZTF_r,,,,,ztf
40,2458354.8344097,ZTF_r,21.462148314757943,22.493654449458166,20.942874487318754,,ztf
41,2458354.8528704,ZTF_r,23.065030470666354,,21.545353184373703,,ztf
42,2458354.9076736,ZTF_r,22.034195757408426,,21.273781155808617,,ztf
43,2458354.908588,ZTF_r,,,,,ztf
44,2458355.848588,ZTF_r,21.636982535343392,24.23548992516295,20.93515345334087,,ztf
45,2458355.943206,ZTF_r,,,24.41664473562767,,ztf
46,2458356.8977662,ZTF_r,21.578814627570726,,20.718923562576347,,ztf
47,2458356.9150463,ZTF_r,,,21.917835440836754,,ztf
48,2458356.9756019,ZTF_r,21.30369856979494,22.81288679975188,20.695527779137855,,ztf
49,2458360.8500694,ZTF_r,,,22.712313280234866,,ztf
50,2458360.8529051,ZTF_r,,,22.173719749099455,,ztf
51,2458360.897662,ZTF_g,22.456524046394975,,21.112972638549962,,ztf
52,2458360.8985764,ZTF_g,23.423706723931716,,21.35499550055541,,ztf
53,2458360.9231944,ZTF_g,23.64216214689251,,21.27631093427957,,ztf
54,2458360.9236574,ZTF_g,26.209847510634837,,21.455478494729487,,ztf
55,2458361.8352662,ZTF_r,,,22.459312332331997,,ztf
56,2458361.897963,ZTF_g,22.14799536461316,,21.300424413802837,,ztf
57,2458362.8815394,ZTF_r,,,26.0315769777149,,ztf
58,2458362.9095833,ZTF_r,,,22.650076913308776,,ztf
59,2458362.9626042,ZTF_g,22.24092071909598,,21.422002209530454,,ztf
60,2458363.856956,ZTF_g,22.26980427333873,26.067076764562056,21.533790543956226,,ztf
61,2458363.8578588,ZTF_g,22.928625425621124,,21.807002684837403,,ztf
62,2458363.8930093,ZTF_g,,,24.324384849061772,,ztf
63,2458363.9201042,ZTF_r,24.437714701159628,,22.316026736621676,,ztf
64,2458363.9242361,ZTF_r,21.93117642204796,22.98722062156234,21.40610204257024,,ztf
65,2458364.8643634,ZTF_r,,,23.951253898107147,,ztf
66,2458364.899537,ZTF_g,,,24.760865378537822,,ztf
67,2458365.8774306,ZTF_r,23.01139947611288,,21.978664931609877,,ztf
68,2458366.8728472,ZTF_r,22.125401203739575,22.94214066952792,21.664600760872496,,ztf
69,2458366.8737731,ZTF_r,,,,,ztf
70,2458366.8981829,ZTF_g,,,,,ztf
71,2458367.8729051,ZTF_r,21.310740267202455,21.6342742030402,21.061807892140408,,ztf
72,2458367.8978704,ZTF_g,,,24.831379563016686,,ztf
73,2458368.8498032,ZTF_r,23.42665290117167,,22.30459475479371,,ztf
74,2458368.8747685,ZTF_g,,,23.092537920550054,,ztf
75,2458369.8271181,ZTF_g,26.131051643586236,,22.802984011396294,,ztf
76,2458369.8280324,ZTF_g,22.340869030941338,23.641002342321734,21.765998020970645,,ztf
77,2458369.8779282,ZTF_r,23.222940071566672,,22.18819898025182,,ztf
78,2458369.9155671,ZTF_r,22.63051994577769,27.11490422852369,21.8867087512348,,ztf
79,2458370.8714815,ZTF_g,22.496602924886247,23.769033041854062,21.92673318618549,,ztf
80,2458370.8984259,ZTF_r,21.934424609111268,22.73257032420125,21.479421576890246,,ztf
81,2458371.8572106,ZTF_g,23.732368361916304,,22.412993141013573,,ztf
82,2458371.9007523,ZTF_r,,,23.18232549216095,,ztf
83,2458372.8563773,ZTF_r,22.868789223066486,,21.968551833883417,,ztf
84,2458372.8572917,ZTF_r,,,23.600756334913367,,ztf
85,2458372.9014583,ZTF_g,,,23.342315609635104,,ztf
86,2458372.9023727,ZTF_g,23.083354386310052,,22.129428148778285,,ztf
87,2458373.8081713,ZTF_r,23.20647271665887,,22.059796888260962,,ztf
88,2458373.8941319,ZTF_g,,,23.191362458333035,,ztf
89,2458374.8552546,ZTF_r,,,23.356811188019194,,ztf
90,2458374.9135532,ZTF_g,23.12563781343777,,22.160760459993135,,ztf
91,2458375.8122801,ZTF_g,24.607193236470813,,22.6517083639989,,ztf
92,2458375.8547106,ZTF_r,26.009578165491448,,22.41708443509707,,ztf
93,2458375.8556134,ZTF_r,21.61430457080862,22.23209441050394,21.222998436548185,,ztf
94,2458376.8305208,ZTF_g,,,24.58628324743946,,ztf
95,2458376.8567245,ZTF_r,22.305922261096132,23.867904912805887,21.69044569438715,,ztf
96,2458377.807037,ZTF_r,,,,,ztf
