###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58282.456071  21.314  1.346    11   15 o  0   0.84 252.70876  45.39802  6451.08  3817.27 3.28 2.93 -86.1 -0.419 19.38 21.17 01a58282o0393o
58282.469867 -22.565  3.750    -3   13 o  0   1.18 252.70876  45.39802  6464.77  3852.67 3.17 3.12 -28.8 -0.416 19.33 21.18 01a58282o0416o
58282.480733  20.980  0.824    15   12 o  0   1.06 252.70876  45.39802  6408.87  3775.57 3.04 2.98 -67.1 -0.428 19.38 21.18 01a58282o0434o
58282.496347 -21.642  1.692    -8   14 o  0   0.92 252.70876  45.39802  6399.03  3894.03 3.23 2.90 -82.9 -0.423 19.32 21.09 01a58282o0464o
58284.448070 -23.227  4.313    -2    8 c  0   1.32 252.70876  45.39802  1252.82  7892.14 2.41 2.23  11.4 -0.467 19.86 21.85 02a58284o0438c
58284.458916 -24.125  9.857    -1    8 c  0   1.52 252.70876  45.39802  1226.02  7854.67 2.40 2.24  20.5 -0.465 19.85 21.82 02a58284o0461c
58284.476179  21.106  0.767    13   10 c  0   0.92 252.70876  45.39802  1293.73  7927.88 2.51 2.35  10.5 -0.454 19.80 21.78 02a58284o0498c
58284.488809 -22.274  1.941    -4    9 c  0   1.61 252.70876  45.39802  1307.73  7809.35 2.56 2.39  14.2 -0.454 19.78 21.76 02a58284o0525c
58286.434349 -20.360  0.517   -26   14 o  0   1.19 252.70876  45.39802  9287.11  5991.48 3.37 2.84 -87.6 -0.449 19.35 21.12 01a58286o0372o
58286.446035  22.038  2.731     6   15 o  0   0.80 252.70876  45.39802  9315.42  6026.72 3.44 2.68 -83.9 -0.453 19.42 21.12 01a58286o0397o
58286.462850 -21.778  1.967    -7   14 o  0   1.21 252.70876  45.39802  9257.11  5950.37 3.66 2.79 -85.6 -0.444 19.34 21.08 01a58286o0433o
58286.474896 -24.195 22.000    -1   17 o  0   0.93 252.70876  45.39802  9231.85  6067.54 3.78 2.94 -86.7 -0.436 19.31 21.03 01a58286o0459o
58290.427751 -20.689  0.784   -19   15 o  0   1.48 252.70876  45.39802  8953.59  5891.33 3.48 2.83 -82.4 -0.442 19.27 20.74 01a58290o0408o
58290.435149 -21.779  1.970    -7   14 o  0   1.32 252.70876  45.39802  8968.20  5928.34 3.40 2.81 -83.1 -0.450 19.24 20.70 01a58290o0424o
58290.444154 -21.724  1.943    -7   14 o  0   1.21 252.70876  45.39802  8911.79  5852.81 3.45 2.75 -83.9 -0.445 19.25 20.68 01a58290o0443o
58290.456768  22.192  3.261     5   16 o  0   0.80 252.70876  45.39802  8901.13  5969.46 3.44 2.74 -84.6 -0.441 19.27 20.71 01a58290o0470o
58292.436947  23.150  6.579     2   13 o  0   1.42 252.70876  45.39802  3159.28  6395.10 2.15 2.08 -33.3 -0.466 19.25 20.11 02a58292o0426o
58292.446620  21.741  1.808     7   13 o  0   1.09 252.70876  45.39802  3144.95  6356.15 2.01 1.95 -13.6 -0.477 19.29 20.12 02a58292o0447o
58292.453906 -22.846  5.581    -3   15 o  0   0.56 252.70876  45.39802  3198.36  6432.39 1.94 1.87 -29.2 -0.472 19.34 20.13 02a58292o0462o
58292.466999  20.744  0.694    18   13 o  0   1.32 252.70876  45.39802  3224.60  6314.84 2.10 2.00 -24.1 -0.470 19.29 20.13 02a58292o0490o
58294.419433 -21.716  3.556    -8   27 o  0   0.79 252.70876  45.39802  8210.58  5294.27 3.34 2.80 -85.0 -0.449 18.90 19.96 01a58294o0388o
58294.428858  20.616  1.235    21   25 o  0   1.05 252.70876  45.39802  8238.93  5329.97 3.37 2.70 -84.2 -0.453 18.88 19.94 01a58294o0408o
58294.440479 -22.008  3.741    -6   21 o  0   1.04 252.70876  45.39802  8170.02  5255.08 3.45 2.77 -84.9 -0.446 18.83 19.92 01a58294o0433o
58294.447131 -21.551  2.925    -9   26 o  0   1.09 252.70876  45.39802  8158.91  5371.98 3.55 2.78 -84.4 -0.439 18.85 19.90 01a58294o0447o
58296.454661 -20.171  0.692   -31   22 o  0   1.12 252.70876  45.39802  3150.50  6528.48 2.20 2.04 -39.3 -0.442 18.78 19.30 02a58296o0462o
58296.466992 -20.458  0.901   -24   22 o  0   1.45 252.70876  45.39802  3136.89  6490.45 2.13 2.00 -32.6 -0.482 18.80 19.28 02a58296o0488o
58296.475231  21.881  3.596     6   23 o  0   1.18 252.70876  45.39802  3190.35  6565.67 2.25 2.15  -8.0 -0.452 18.74 19.25 02a58296o0506o
58296.483452  20.013  0.780    36   28 o  0   0.62 252.70876  45.39802  3218.02  6451.14 2.11 2.02 -13.2 -0.474 18.74 19.20 02a58296o0523o
58298.373092  20.307  1.067    27   29 o  0   1.12 252.70876  45.39802  9568.85  6215.97 3.97 2.95 -85.9 -0.435 18.74 19.83 01a58298o0285o
58298.385677  23.263 16.429     2   30 o  0   1.17 252.70876  45.39802  9597.46  6250.11 4.07 2.83 -86.0 -0.439 18.74 19.81 01a58298o0312o
58298.392126 -22.170  5.963    -5   29 o  0   1.15 252.70876  45.39802    64.59  6384.63 2.99 2.84 -82.4 -0.394 18.68 19.81 01a58298o0326o
58298.394030 -20.122  0.951   -32   31 o  0   0.91 252.70876  45.39802  9527.10  6174.65 4.10 2.91 -86.3 -0.439 18.72 19.80 01a58298o0330o
58298.400982 -24.168 37.333    -1   29 o  0   1.38 252.70876  45.39802  9518.01  6290.62 4.03 2.88 -86.3 -0.446 18.75 19.79 01a58298o0345o
58298.402406  16.813  0.047   684   32 o  0  12.82 252.70876  45.39802    80.19  6421.55 3.33 3.03 -89.1 -0.386 18.60 19.80 01a58298o0348o
58300.396813 -16.857  2.082  -657 1367 o  0   1.52 252.70876  45.39802  4463.41  5571.87 2.04 1.85 -37.1 -0.534 14.12 14.16 02a58300o0336o
58300.406622 -16.038  2.563 -1396 3577 o  0   1.02 252.70876  45.39802  4433.50  5532.97 11.51 9.16   0.0 -0.136 14.60 14.57 02a58300o0357o
58300.422465 -16.841  2.884  -666 1922 o  0   1.02 252.70876  45.39802  4484.48  5609.28 2.35 2.07 -44.3 -0.485 14.18 14.32 02a58300o0391o
58302.412045  21.501  1.925     9   18 o  0   1.11 252.70876  45.39802  7682.57  4811.51 3.56 2.90 -84.9 -0.434 19.12 20.49 01a58302o0294o
58302.420903  22.593  4.733     3   16 o  0   1.48 252.70876  45.39802  7695.34  4849.06 3.42 2.95 -85.0 -0.431 19.09 20.46 01a58302o0313o
58302.427085 -25.525 81.000    -0   18 o  0   1.00 252.70876  45.39802  7641.28  4773.94 3.43 2.95 -81.8 -0.432 19.08 20.41 01a58302o0326o
58302.440045 -21.128  1.357   -13   17 o  0   1.13 252.70876  45.39802  7630.12  4889.61 3.48 3.00 -84.0 -0.426 19.02 20.40 01a58302o0354o
58304.407949 -21.628  2.750    -8   22 o  0   1.09 252.70876  45.39802  4155.11  5980.39 2.38 2.25 -53.5 -0.444 18.73 20.14 02a58304o0362o
