HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458485.752,2019-01-02.2516178,bD,1.54,19.085,>19.085,99.99,0.044,0.017,g
2458489.737,2019-01-06.2373719,bD,1.61,18.778,>18.778,99.99,-0.003,0.022,g
2458490.738,2019-01-07.2381129,bD,1.51,18.875,>18.875,99.99,0.027,0.02,g
2458491.638,2019-01-08.1387819,bt,1.55,18.783,>18.783,99.99,0.02,0.022,g
2458493.727,2019-01-10.2276946,bD,1.44,18.845,>18.845,99.99,-0.018,0.021,g
2458494.72,2019-01-11.2205505,bD,1.47,18.785,>18.785,99.99,-0.032,0.022,g
2458498.713,2019-01-15.2143472,bD,1.53,18.081,>18.081,99.99,0.079,0.043,g
2458502.6,2019-01-19.1013259,bt,2.09,16.714,>16.714,99.99,-3.417,0.15,g
2458503.597,2019-01-20.0983354,bt,1.58,16.648,>16.648,99.99,-0.882,0.159,g
2458507.58,2019-01-24.0821672,bt,1.71,18.429,>18.429,99.99,0.029,0.031,g
2458509.577,2019-01-26.0795744,bt,1.65,18.516,>18.516,99.99,0.017,0.028,g
2458515.558,2019-02-01.0608414,bt,1.57,17.491,>17.491,99.99,-0.197,0.073,g
2458618.117,2019-05-14.6206450,bD,1.49,16.97,>16.970,99.99,0.075,0.118,g
2458619.109,2019-05-15.6132796,bD,1.5,17.906,17.847,0.207,0.264,0.05,g
2458625.101,2019-05-21.6046953,bD,1.43,17.46,>17.460,99.99,-0.028,0.075,g
2458626.918,2019-05-23.4218719,bl,1.48,17.502,>17.502,99.99,-0.061,0.073,g
2458628.095,2019-05-24.5982329,bD,1.57,18.143,>18.143,99.99,-0.05,0.04,g
2458631.084,2019-05-27.5874875,bD,1.47,18.257,>18.257,99.99,-0.123,0.036,g
2458635.902,2019-06-01.4050598,bH,1.42,18.324,>18.324,99.99,-0.049,0.034,g
2458637.091,2019-06-02.5934457,bD,1.44,18.763,>18.763,99.99,-0.026,0.023,g
2458637.91,2019-06-03.4122605,bl,1.48,18.395,>18.395,99.99,0.045,0.032,g
2458642.062,2019-06-07.5640313,bD,1.74,18.518,>18.518,99.99,-0.07,0.028,g
2458642.893,2019-06-08.3956697,bl,1.51,18.242,>18.242,99.99,-0.053,0.037,g
2458642.929,2019-06-08.4314019,bt,1.49,18.161,>18.161,99.99,0.165,0.04,g
2458643.911,2019-06-09.4132716,bt,1.53,18.175,>18.175,99.99,-0.046,0.039,g
2458644.055,2019-06-09.5574945,bD,1.47,18.474,>18.474,99.99,0.009,0.03,g
2458647.051,2019-06-12.5532346,bD,1.48,18.684,>18.684,99.99,-0.013,0.024,g
2458648.636,2019-06-14.1378922,bp,1.54,18.517,>18.517,99.99,-0.013,0.028,g
2458649.633,2019-06-15.1344861,bp,1.68,17.316,>17.316,99.99,-0.093,0.086,g
2458651.041,2019-06-16.5426629,bD,1.49,17.546,>17.546,99.99,-0.066,0.07,g
2458653.041,2019-06-18.5428506,bD,1.5,17.434,>17.434,99.99,-0.04,0.077,g
2458653.883,2019-06-19.3843216,bH,1.65,17.206,>17.206,99.99,0.046,0.095,g
2458654.871,2019-06-20.3727255,bl,1.44,16.686,>16.686,99.99,-0.446,0.154,g
2458657.866,2019-06-23.3667609,bH,1.39,17.599,>17.599,99.99,-0.103,0.066,g
2458658.882,2019-06-24.3824634,bt,1.6,17.535,>17.535,99.99,-0.203,0.07,g
2458666.913,2019-07-02.4129718,bH,1.5,18.452,>18.452,99.99,0.026,0.03,g
2458667.071,2019-07-02.5709233,bD,1.45,18.767,>18.767,99.99,-0.049,0.023,g
2458669.82,2019-07-05.3203178,bl,1.5,18.508,>18.508,99.99,-0.072,0.029,g
2458669.952,2019-07-05.4522486,bt,1.57,17.737,>17.737,99.99,0.067,0.058,g
2458674.587,2019-07-10.0867145,bp,1.64,18.375,>18.375,99.99,-0.082,0.032,g
2458674.993,2019-07-10.4919434,bD,1.53,18.643,>18.643,99.99,-0.051,0.025,g
2458677.578,2019-07-13.0768718,bp,1.54,17.973,>17.973,99.99,-0.085,0.047,g
2458677.993,2019-07-13.4917660,bD,2.11,17.956,>17.956,99.99,-0.053,0.048,g
2458679.876,2019-07-15.3748087,bt,1.49,17.699,>17.699,99.99,-0.153,0.06,g
2458680.817,2019-07-16.3163577,bl,1.53,17.232,>17.232,99.99,-0.134,0.093,g
2458681.978,2019-07-17.4764567,bD,1.52,16.887,>16.887,99.99,-0.189,0.128,g
2458682.98,2019-07-18.4790743,bD,1.94,17.668,>17.668,99.99,-0.056,0.062,g
2458684.03,2019-07-19.5282694,bD,1.68,17.714,>17.714,99.99,-0.175,0.06,g
2458685.947,2019-07-21.4455035,bt,1.51,17.058,>17.058,99.99,-0.232,0.109,g
2458690.082,2019-07-25.5796818,bD,1.44,18.508,>18.508,99.99,0.038,0.029,g
2458690.565,2019-07-26.0628714,bp,1.55,18.014,>18.014,99.99,0.008,0.045,g
2458691.611,2019-07-27.1091225,bp,1.58,17.64,>17.640,99.99,0.229,0.064,g
2458693.935,2019-07-29.4328474,bD,1.47,18.051,>18.051,99.99,0.048,0.044,g
2458694.928,2019-07-30.4254825,bt,1.48,18.312,>18.312,99.99,0.054,0.034,g
2458697.499,2019-08-01.9960989,bp,1.53,18.885,>18.885,99.99,0.001,0.02,g
2458702.544,2019-08-07.0407031,bp,1.57,18.649,>18.649,99.99,0.066,0.025,g
2458703.949,2019-08-08.4454584,bD,1.47,18.96,>18.960,99.99,-0.003,0.019,g
2458704.933,2019-08-09.4294237,bD,1.47,18.263,>18.263,99.99,-0.095,0.036,g
2458705.507,2019-08-10.0040564,bp,1.48,18.018,>18.018,99.99,0.041,0.045,g
2458705.914,2019-08-10.4104501,bD,1.44,17.232,>17.232,99.99,0.083,0.093,g
2458707.78,2019-08-12.2762837,bH,1.5,17.431,>17.431,99.99,-0.061,0.077,g
2458709.493,2019-08-13.9894018,bp,1.52,17.213,>17.213,99.99,-0.183,0.095,g
2458710.475,2019-08-14.9712236,bp,1.69,16.856,>16.856,99.99,-0.489,0.131,g
2458712.864,2019-08-17.3603332,bH,1.52,16.021,>16.021,99.99,1.235,0.283,g
2458716.61,2019-08-21.1061353,bp,1.49,16.843,>16.843,99.99,-0.238,0.133,g
2458716.726,2019-08-21.2217746,bl,1.53,17.869,>17.869,99.99,-0.01,0.052,g
2458718.116,2019-08-22.6123751,bD,1.58,18.283,>18.283,99.99,-0.058,0.035,g
2458718.585,2019-08-23.0813142,bp,1.61,17.776,>17.776,99.99,0.006,0.056,g
2458719.108,2019-08-23.6038630,bD,1.5,18.461,>18.461,99.99,-0.032,0.03,g
2458720.134,2019-08-24.6294734,bD,1.46,18.32,>18.320,99.99,-0.096,0.034,g
2458721.86,2019-08-26.3558966,bt,1.47,18.385,>18.385,99.99,-0.01,0.032,g
2458722.847,2019-08-27.3430356,bt,1.48,18.486,>18.486,99.99,0.02,0.029,g
2458723.782,2019-08-28.2779085,bl,1.5,18.083,>18.083,99.99,0.022,0.042,g
2458723.968,2019-08-28.4631899,bD,1.46,18.946,>18.946,99.99,0.015,0.019,g
2458724.532,2019-08-29.0272732,bp,1.52,18.886,>18.886,99.99,-0.002,0.02,g
2458725.004,2019-08-29.4991069,bD,1.48,18.136,>18.136,99.99,-0.026,0.04,g
2458726.945,2019-08-31.4400920,bD,1.46,18.768,>18.768,99.99,0.016,0.023,g
