index,JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin
0,2458268.9470486,ZTF_r,,,,,ztf
1,2458268.9661921,ZTF_g,,,21.478548214594834,,ztf
2,2458271.9427546,ZTF_r,,,21.90102829629982,,ztf
3,2458274.9794676,ZTF_r,,,22.27728248402376,,ztf
4,2458277.9270255,ZTF_r,,,22.844327672916197,,ztf
5,2458277.9619213,ZTF_g,,,23.21000681564397,,ztf
6,2458280.947419,ZTF_g,24.9231173097436,,22.533158154439885,,ztf
7,2458280.9785764,ZTF_r,22.90502674798912,,21.706046937375724,,ztf
8,2458283.9447222,ZTF_g,24.732770174381493,,22.503810402402937,,ztf
9,2458283.9649653,ZTF_r,,,23.50955900462372,,ztf
10,2458286.945625,ZTF_g,22.337655508894862,23.69527644436105,21.752872938877168,,ztf
11,2458286.9685532,ZTF_r,,,23.392067752227998,,ztf
12,2458289.9335764,ZTF_g,26.765996996774273,,22.65788178450717,,ztf
13,2458289.9662037,ZTF_r,,,,,ztf
14,2458292.943287,ZTF_g,22.732784060423604,24.275660855332614,22.119904834710944,,ztf
15,2458292.979294,ZTF_r,,,23.365572504788194,,ztf
16,2458295.950787,ZTF_g,23.062422568801296,,21.624011582825826,,ztf
17,2458296.8604977,ZTF_r,23.50492077724902,,21.20738023952142,,ztf
18,2458296.973912,ZTF_g,,,,,ztf
19,2458299.9191898,ZTF_r,22.18760957710225,,21.304858089054388,,ztf
20,2458302.9144907,ZTF_r,23.927714970167372,,21.734436877714217,,ztf
21,2458302.9416667,ZTF_g,21.829491732444644,25.653852076351164,21.093066880267926,,ztf
22,2458302.961412,ZTF_i,,,23.4992473620247,,ztf
23,2458305.933831,ZTF_r,22.222965585842168,25.71174579003709,21.492449635288885,,ztf
24,2458305.9603935,ZTF_g,22.042746240198838,23.37446657806067,21.46235318385965,,ztf
25,2458307.9360995,ZTF_i,,,23.28449588082764,,ztf
26,2458310.9415394,ZTF_r,23.33588217239516,,22.059573544983405,,ztf
27,2458312.889919,ZTF_i,,,22.02498336669694,,ztf
28,2458313.920544,ZTF_r,24.10816955325266,,22.47247103240924,,ztf
29,2458313.9614931,ZTF_g,,,,,ztf
30,2458314.9877894,ZTF_g,22.436169103866707,,21.525413121649798,,ztf
31,2458314.9882407,ZTF_g,22.25970759947939,26.38635945260833,21.51933575968333,,ztf
32,2458314.9886921,ZTF_g,,,24.36940889797712,,ztf
33,2458314.9891551,ZTF_g,,,22.635239296020767,,ztf
34,2458316.9363889,ZTF_g,,,,,ztf
35,2458316.9614583,ZTF_r,22.563229156137666,23.755900889905178,22.008633564611603,,ztf
36,2458319.9202662,ZTF_g,22.859861257800492,,22.041776976330176,,ztf
37,2458319.946956,ZTF_r,,,24.730528829878345,,ztf
38,2458319.9840509,ZTF_i,,,22.861033285923952,,ztf
39,2458322.9132407,ZTF_r,,,24.291549477618176,,ztf
40,2458322.9421991,ZTF_g,22.73030505937188,28.146724195385193,21.98143574748996,,ztf
41,2458325.8827778,ZTF_i,,,21.944740089123343,,ztf
42,2458325.9365278,ZTF_g,22.070108608750708,,21.208038775681743,,ztf
43,2458328.9366435,ZTF_r,,,,,ztf
