###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58194.557100  22.090  1.844     5   10 c  0   1.30 208.90703  40.47754  2101.61  1586.67 2.48 2.31  45.1 -0.429 19.77 21.62 02a58194o0711c
58194.568262  21.401  1.024    10   10 c  0   0.89 208.90703  40.47754  2081.08  1542.54 2.55 2.33  48.8 -0.428 19.79 21.63 02a58194o0729c
58194.579824  21.693  1.161     8    9 c  0   1.07 208.90703  40.47754  2140.60  1618.98 2.54 2.36  48.2 -0.430 19.79 21.61 02a58194o0748c
58194.590005 -21.026  0.558   -14    8 c  0   1.41 208.90703  40.47754  2154.02  1501.46 2.49 2.30  46.4 -0.432 19.79 21.62 02a58194o0766c
58196.525508  17.832  0.770   267  206 c  0   1.15 208.90703  40.47754  6026.84  6075.68 2.51 2.39  12.9 -0.398 16.50 18.46 02a58196o0644c
58196.539476 -21.256  1.690   -11   19 c  0   1.32 208.90703  40.47754  5996.22  6039.19 2.39 2.36  33.1 -0.426 18.97 21.01 02a58196o0671c
58196.541328  21.750  6.167     7   45 c  0   0.83 208.90703  40.47754  6053.56  6116.99 2.40 2.35  11.8 -0.425 17.97 19.95 02a58196o0675c
58196.551978 -17.998  2.490  -230  572 c  0   1.39 208.90703  40.47754  6079.13  6013.15 2.46 2.44 -29.6 -0.441 15.85 17.76 02a58196o0695c
58206.492115  22.486  8.062     4   30 o  0   1.08 208.90703  40.47754  4846.69  5341.80 3.72 2.89 -84.7 -0.418 18.58 19.66 01a58206o0502o
58206.499043  21.261  2.780    11   32 o  0   1.15 208.90703  40.47754  4859.52  5407.49 3.66 2.88 -85.6 -0.421 18.57 19.66 01a58206o0517o
58206.513057  21.603  3.784     8   31 o  0   0.87 208.90703  40.47754  4800.46  5388.45 3.59 2.88 -83.8 -0.429 18.62 19.73 01a58206o0546o
58206.517648  19.528  0.556    56   31 o  0   1.10 208.90703  40.47754  4787.90  5518.97 3.77 2.86 -83.8 -0.421 18.64 19.73 01a58206o0555o
58214.499362  20.624  0.759    20   16 o  0   1.35 208.90703  40.47754  2964.90  2473.02 2.96 2.85  -0.7 -0.450 19.24 20.75 01a58214o0159o
58214.509064  19.694  0.316    48   15 o  0   1.40 208.90703  40.47754  2982.21  2551.95 2.88 2.77   2.3 -0.463 19.22 20.73 01a58214o0180o
58214.515117  20.549  0.706    22   16 o  0   1.39 208.90703  40.47754  2938.92  2498.56 3.23 2.80  -9.1 -0.435 19.21 20.70 01a58214o0193o
58214.530466  20.971  1.179    15   18 o  0   0.96 208.90703  40.47754  2917.08  2675.71 2.93 2.89  -3.4 -0.450 19.19 20.69 01a58214o0226o
58220.486996 -21.975  1.810    -6   11 o  0   1.32 208.90703  40.47754  6543.70  4398.64 2.03 1.97  57.4 -0.453 19.72 21.10 02a58220o0568o
58220.493494  21.124  0.899    13   12 o  0   1.16 208.90703  40.47754  6528.47  4359.15 2.09 2.04 -57.1 -0.451 19.73 21.09 02a58220o0582o
58220.507925  20.399  0.418    25   10 o  0   1.48 208.90703  40.47754  6586.00  4438.34 2.06 1.97 -43.3 -0.458 19.74 21.06 02a58220o0613o
58220.511130  21.161  1.076    12   13 o  0   0.75 208.90703  40.47754  6600.12  4320.19 2.22 2.04 -41.0 -0.439 19.72 21.06 02a58220o0620o
58222.573879 -21.165  1.379   -12   17 o  0   0.85 208.90703  40.47754  2502.15  6210.07 2.93 2.75  88.6 -0.461 19.26 20.83 01a58222o0347o
58222.589965  21.340  1.978    11   21 o  0   0.96 208.90703  40.47754  2545.50  6300.64 3.41 3.08  86.9 -0.421 19.09 20.71 01a58222o0381o
58222.597869  20.419  0.741    25   18 o  0   1.03 208.90703  40.47754  2502.33  6249.64 3.24 2.97  85.1 -0.435 19.17 20.74 01a58222o0398o
58222.609610  20.759  1.039    18   19 o  0   1.14 208.90703  40.47754  2510.44  6398.21 3.41 3.03  83.6 -0.432 19.04 20.56 01a58222o0422o
58224.527257  20.516  0.524    23   12 c  0   0.91 208.90703  40.47754  4288.94  6289.76 2.67 2.50 -34.1 -0.398 19.65 21.47 02a58224o0157c
58232.456705  22.572  3.528     3   12 o  0   1.36 208.90703  40.47754  6690.78  6452.88 2.02 1.98 -28.9 -0.475 19.42 20.31 02a58232o0412o
58232.468312  20.328  0.455    27   12 o  0   1.17 208.90703  40.47754  6673.81  6414.00 2.03 1.95 -24.4 -0.472 19.41 20.29 02a58232o0437o
58232.473387  20.458  0.553    24   13 o  0   1.10 208.90703  40.47754  6732.38  6491.65 1.99 1.96 -15.5 -0.462 19.41 20.27 02a58232o0448o
58232.488137  20.969  0.927    15   14 o  0   0.99 208.90703  40.47754  6748.19  6377.06 2.02 1.93 -19.9 -0.455 19.45 20.30 02a58232o0480o
58234.440594  18.861  3.417   104  354 o  0   1.10 208.90703  40.47754  5032.99  4391.46 3.42 3.07  87.3 -0.441 15.72 16.18 01a58234o0359o
58234.451240 -18.639  0.397  -127   50 o  0   1.39 208.90703  40.47754  5050.28  4472.61 3.30 3.02  89.8 -0.423 17.70 18.25 01a58234o0382o
58234.456343  19.784  2.948    44  131 o  0   1.19 208.90703  40.47754  4993.28  4435.83 3.28 3.09 -15.6 -0.421 16.78 17.61 01a58234o0393o
58234.471724  20.532  1.484    22   33 o  0   1.11 208.90703  40.47754  4985.34  4612.30 3.35 3.02 -87.6 -0.425 18.33 19.32 01a58234o0426o
58244.437852  19.339  1.033    67   69 o  0   1.84 208.90703  40.47754  4804.82  5363.90 3.09 2.93  29.7 -0.220 17.57 18.21 02a58244o0457o
58244.449930  18.332  0.913   169  154 o  0   1.30 208.90703  40.47754  4792.72  5324.78 2.07 1.89 -27.7 -0.457 16.67 17.16 02a58244o0483o
58244.454757  19.131  2.184    81  177 o  0   1.02 208.90703  40.47754  4850.38  5400.75 3.28 3.14  34.2 -0.473 17.01 17.38 02a58244o0493o
58244.470140 -19.037  0.968   -88   85 o  0   0.46 208.90703  40.47754  4866.42  5285.54 2.10 1.92 -42.2 -0.468 17.87 18.34 02a58244o0526o
58246.457301  20.409  0.649    25   16 o  0   0.98 208.90703  40.47754  3106.10  3461.24 3.17 3.08   6.7 -0.441 19.25 21.06 01a58246o0091o
58246.470129  21.153  1.207    13   15 o  0   1.53 208.90703  40.47754  3148.75  3549.35 3.06 2.96  12.9 -0.445 19.26 21.00 01a58246o0119o
58246.470587 -23.376  9.286    -2   15 o  0   1.38 208.90703  40.47754  3089.44  3473.07 3.20 3.09  53.9 -0.431 19.21 21.01 01a58246o0120o
58246.473978  19.944  0.442    38   17 o  0   1.04 208.90703  40.47754  3065.45  3602.56 3.31 3.04   0.9 -0.431 19.25 21.02 01a58246o0127o
58248.437708  21.324  1.213    11   13 o  0   1.02 208.90703  40.47754  6401.15  5039.88 2.24 1.96 -48.7 -0.454 19.48 20.67 02a58248o0456o
58248.445979  20.288  0.424    28   12 o  0   1.62 208.90703  40.47754  6380.41  5002.44 2.12 1.88 -58.8 -0.456 19.51 20.67 02a58248o0472o
58248.459871  20.280  0.474    28   13 o  0   1.27 208.90703  40.47754  6440.21  5080.76 2.15 1.98 -41.2 -0.456 19.27 20.50 02a58248o0502o
58248.463719  20.550  0.641    22   14 o  0   1.06 208.90703  40.47754  6453.61  4963.72 2.62 2.14 -46.7 -0.420 19.45 20.69 02a58248o0510o
58250.429088 -19.051  0.442   -87   38 o  0   1.66 208.90703  40.47754  2675.42  4458.35 3.12 3.04  38.9 -0.443 18.02 19.59 01a58250o0416o
