HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458485.815,2019-01-02.3132532,bD,1.6,18.695,>18.695,99.99,-0.055,0.024,g
2458487.742,2019-01-04.2400765,bt,1.54,18.471,>18.471,99.99,0.065,0.03,g
2458488.737,2019-01-05.2351641,bt,1.46,18.561,>18.561,99.99,-0.006,0.027,g
2458492.786,2019-01-09.2845563,bD,1.49,18.79,>18.790,99.99,0.054,0.022,g
2458494.787,2019-01-11.2852071,bD,1.57,18.592,>18.592,99.99,-0.063,0.027,g
2458495.696,2019-01-12.1944781,bt,1.59,18.114,>18.114,99.99,-0.096,0.041,g
2458496.708,2019-01-13.2067771,bt,1.61,17.591,>17.591,99.99,-0.137,0.067,g
2458497.742,2019-01-14.2409903,bD,1.45,18.341,>18.341,99.99,0.039,0.033,g
2458503.713,2019-01-20.2124809,bD,1.51,17.573,>17.573,99.99,0.219,0.068,g
2458504.686,2019-01-21.1856063,bt,1.5,18.217,>18.217,99.99,0.017,0.038,g
2458519.714,2019-02-05.2148459,bD,1.62,18.255,>18.255,99.99,-0.086,0.036,g
2458522.63,2019-02-08.1314939,bt,1.5,18.153,>18.153,99.99,0.124,0.04,g
2458526.621,2019-02-12.1227130,bt,1.72,17.594,>17.594,99.99,0.263,0.067,g
2458527.617,2019-02-13.1189849,bt,1.5,17.627,>17.627,99.99,-0.094,0.065,g
2458531.608,2019-02-17.1098506,bt,1.54,17.227,>17.227,99.99,0.158,0.093,g
2458543.572,2019-03-01.0752721,bt,2.11,17.548,>17.548,99.99,-0.078,0.069,g
2458638.113,2019-06-03.6170857,bD,1.53,16.403,>16.403,99.99,-0.094,0.2,g
2458642.106,2019-06-07.6104067,bD,1.45,17.725,>17.725,99.99,-0.013,0.059,g
2458644.103,2019-06-09.6071980,bD,1.5,18.338,>18.338,99.99,0.007,0.034,g
2458646.096,2019-06-11.6000581,bD,1.48,18.653,>18.653,99.99,-0.05,0.025,g
2458648.085,2019-06-13.5887659,bD,1.5,18.498,>18.498,99.99,-0.124,0.029,g
2458649.113,2019-06-14.6160818,bD,1.52,17.272,>17.272,99.99,-0.076,0.09,g
2458650.086,2019-06-15.5892626,bD,1.56,17.945,>17.945,99.99,-0.1,0.048,g
2458650.934,2019-06-16.4374900,bt,1.47,17.07,>17.070,99.99,-0.229,0.108,g
2458651.938,2019-06-17.4412814,bt,1.48,16.524,>16.524,99.99,0.431,0.178,g
2458654.076,2019-06-19.5793984,bD,1.48,17.175,>17.175,99.99,-0.08,0.098,g
2458655.92,2019-06-21.4235233,bt,1.43,17.552,>17.552,99.99,0.195,0.069,g
2458656.932,2019-06-22.4351326,bt,1.5,17.33,>17.330,99.99,0.187,0.085,g
2458657.925,2019-06-23.4276498,bt,1.49,17.641,>17.641,99.99,0.087,0.064,g
2458668.056,2019-07-03.5584927,bD,1.49,18.69,>18.690,99.99,0.001,0.024,g
2458670.039,2019-07-05.5414471,bD,1.53,18.604,>18.604,99.99,0.033,0.026,g
2458675.051,2019-07-10.5529723,bD,1.52,18.726,>18.726,99.99,-0.063,0.023,g
2458677.923,2019-07-13.4238783,bt,1.46,18.27,>18.270,99.99,0.019,0.036,g
2458679.031,2019-07-14.5318711,bD,1.47,17.728,>17.728,99.99,-0.19,0.059,g
2458681.019,2019-07-16.5198612,bD,1.5,16.962,>16.962,99.99,-0.031,0.119,g
2458684.123,2019-07-19.6233517,bD,2,17.795,>17.795,99.99,-0.224,0.055,g
2458684.93,2019-07-20.4302878,bt,1.57,17.449,>17.449,99.99,0.186,0.076,g
2458690.849,2019-07-26.3487410,bt,1.52,17.898,>17.898,99.99,0.044,0.05,g
2458700.088,2019-08-04.5876945,bD,1.52,18.864,>18.864,99.99,-0.018,0.021,g
2458701.084,2019-08-05.5833893,bD,1.46,18.825,>18.825,99.99,-0.015,0.021,g
2458715.924,2019-08-20.4221215,bD,1.53,17.316,>17.316,99.99,-0.207,0.086,g
2458717.923,2019-08-22.4209203,bD,1.49,17.253,>17.253,99.99,-0.14,0.091,g
