index,JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin
0,2458274.9506829,ZTF_g,21.24702191172733,22.653507606228423,20.65428313884425,,ztf
1,2458274.9767014,ZTF_r,21.630056934484692,24.142454981108518,20.93252430859668,,ztf
2,2458277.9642708,ZTF_g,22.755834403587265,,21.56731335376636,,ztf
3,2458280.9510995,ZTF_g,22.801013495903877,,21.960072335025398,,ztf
4,2458280.9748727,ZTF_r,,,,,ztf
5,2458283.9493519,ZTF_g,21.530442748533595,22.168898236296968,21.131085188648584,,ztf
6,2458283.9700579,ZTF_r,22.291545144425392,,21.486066930986343,,ztf
7,2458286.9517824,ZTF_g,24.212089224931848,,22.273377033433327,,ztf
8,2458286.9715162,ZTF_r,,,22.407975166620776,,ztf
9,2458289.9285185,ZTF_g,,,23.176033227806663,,ztf
10,2458289.9728588,ZTF_r,21.971371709353548,23.13965687183479,21.421720576749095,,ztf
11,2458292.9521991,ZTF_g,29.329361936287064,,23.011756183642788,,ztf
12,2458297.9271181,ZTF_r,21.256191677938556,22.6310790317459,20.66855006802168,,ztf
13,2458297.9652778,ZTF_g,21.568828278178238,,20.76410786790978,,ztf
14,2458300.9221065,ZTF_r,22.345392855942112,,21.443474908437057,,ztf
15,2458300.9656366,ZTF_g,,,24.142303624807333,,ztf
16,2458302.9651042,ZTF_i,21.221433558915926,21.915551357711518,20.801412123259922,,ztf
17,2458303.9534259,ZTF_g,,,23.233373698198843,,ztf
18,2458303.9685301,ZTF_r,24.210049112198273,,22.241573485732072,,ztf
19,2458312.8936111,ZTF_i,23.10646590682725,,21.619360466375607,,ztf
20,2458312.9530324,ZTF_r,24.430657582665763,,22.5755866214674,,ztf
21,2458312.9743056,ZTF_g,22.304084611132097,23.133850401620208,21.839299372447975,,ztf
22,2458315.9561227,ZTF_g,,,23.56613379472197,,ztf
23,2458315.9693403,ZTF_r,22.099579643068516,22.940494949684044,21.63143288873973,,ztf
24,2458318.9495833,ZTF_g,23.468205775108295,,22.55990632881598,,ztf
25,2458319.9878125,ZTF_i,21.519739957565143,22.183234738752823,21.110906897641133,,ztf
26,2458321.9540046,ZTF_g,,,,,ztf
27,2458321.9749769,ZTF_r,,,,,ztf
28,2458324.9430903,ZTF_g,,,22.71891988807095,,ztf
29,2458324.9660301,ZTF_r,24.2962350275368,,22.592834329819055,,ztf
30,2458325.8864815,ZTF_i,,,,,ztf
31,2458327.910706,ZTF_r,24.88042235126711,,21.41719355734317,,ztf
32,2458327.9111574,ZTF_r,20.70320049424253,21.310196070580915,20.316185505159428,,ztf
33,2458327.9116204,ZTF_r,21.051182268151507,23.608808434694105,20.351348403328366,,ztf
