index,JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin
0,2459073.9228472,ZTF_g,21.724169866800345,23.145477360807973,21.129098798187677,,ztf
1,2459073.9645833,ZTF_r,,,22.68389606468141,,ztf
2,2459075.940544,ZTF_g,,,,,ztf
3,2459075.947338,ZTF_g,,,22.64160661222798,,ztf
4,2459075.9651852,ZTF_r,,,23.53256533550197,,ztf
5,2459075.9743634,ZTF_r,23.415280896315004,,22.189361524039228,,ztf
6,2459076.9260648,ZTF_r,,,25.841138184033163,,ztf
7,2459076.9708102,ZTF_g,23.278124268102605,,22.190892093410923,,ztf
8,2459076.9895023,ZTF_g,24.23163352984712,,22.405428394002794,,ztf
9,2459077.9346412,ZTF_g,,,,,ztf
10,2459077.9828472,ZTF_r,23.14419226091622,,21.83035119969026,,ztf
11,2459077.9860532,ZTF_r,24.66719167165362,,22.46650428813276,,ztf
12,2459079.9521412,ZTF_r,22.691868778973262,,20.00900208569865,,ztf
13,2459079.9530787,ZTF_r,,,20.429477957008928,,ztf
14,2459080.9618981,ZTF_g,27.298968945367598,,22.5987866456247,,ztf
15,2459080.9976968,ZTF_r,22.878312013736213,,21.943839977773322,,ztf
16,2459081.9237384,ZTF_r,22.899082309030685,,21.907388155074607,,ztf
17,2459081.978831,ZTF_g,22.51835411532889,29.57029328485488,21.766599634032776,,ztf
18,2459082.9373611,ZTF_g,23.179375168127926,,21.48598706798154,,ztf
19,2459082.9378241,ZTF_g,,,,,ztf
20,2459082.9541782,ZTF_g,,,23.575573026422195,,ztf
21,2459082.9551157,ZTF_g,,,,,ztf
22,2459082.9842245,ZTF_r,,,,,ztf
23,2459082.9851505,ZTF_r,,,23.313042598059678,,ztf
24,2459083.9651736,ZTF_r,,,22.48187677591791,,ztf
25,2459084.8959028,ZTF_g,,,22.80200719545519,,ztf
26,2459084.9094444,ZTF_g,23.677921094962215,,22.536573183955333,,ztf
27,2459084.9150579,ZTF_g,24.753832017715453,,22.688761228218617,,ztf
28,2459084.9616782,ZTF_g,,,,,ztf
29,2459084.9834259,ZTF_r,,,,,ztf
30,2459085.9440394,ZTF_g,23.30283974959717,,22.162266694484103,,ztf
31,2459085.9863889,ZTF_r,,,,,ztf
32,2459086.9501389,ZTF_r,,,,,ztf
33,2459086.9529514,ZTF_r,,,23.59575888216191,,ztf
34,2459086.9563194,ZTF_r,27.143349075653422,,22.550220629663634,,ztf
35,2459086.981794,ZTF_g,,,23.528087306438586,,ztf
36,2459086.9827315,ZTF_g,,,24.866927204805638,,ztf
37,2459087.9472106,ZTF_r,19.434589235705413,19.507989366115652,19.365838583896803,,ztf
38,2459087.9510764,ZTF_r,19.428115440307497,19.50226211491225,19.358710280435737,,ztf
