HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459218.549,2021-01-04.0503248,bl,1.47,18.169,>18.169,99.99,0.064,0.039,g
2459220.615,2021-01-06.1167806,bt,1.5,17.98,>17.980,99.99,0.014,0.047,g
2459221.542,2021-01-07.0436738,bH,1.89,17.987,>17.987,99.99,-0.015,0.046,g
2459225.533,2021-01-11.0351180,bH,1.89,17.056,>17.056,99.99,0.16,0.109,g
2459226.533,2021-01-12.0348475,bl,1.55,17.191,>17.191,99.99,-0.057,0.097,g
2459230.592,2021-01-16.0944790,bt,1.49,18.113,>18.113,99.99,-0.071,0.041,g
2459332.665,2021-04-28.1691453,bp,1.51,16.611,>16.611,99.99,-0.273,0.165,g
2459344.655,2021-05-10.1586929,bp,1.54,18.286,>18.286,99.99,-0.053,0.035,g
2459346.654,2021-05-12.1578019,bp,1.54,17.488,>17.488,99.99,0.036,0.073,g
2459356.868,2021-05-22.3705130,bH,1.42,18.025,>18.025,99.99,-0.029,0.045,g
2459357.873,2021-05-23.3753620,bH,1.43,17.97,>17.970,99.99,0.147,0.047,g
2459358.868,2021-05-24.3708886,bl,1.48,17.644,>17.644,99.99,-0.021,0.064,g
2459359.847,2021-05-25.3491078,bl,1.63,16.762,>16.762,99.99,-0.079,0.143,g
2459361.863,2021-05-27.3656347,bH,1.43,16.816,>16.816,99.99,-0.136,0.136,g
2459371.116,2021-06-05.6171042,bD,1.54,17.565,>17.565,99.99,0.082,0.068,g
2459371.887,2021-06-06.3877960,bH,1.4,17.427,>17.427,99.99,-0.296,0.078,g
2459372.834,2021-06-07.3354498,bH,1.38,18.079,>18.079,99.99,-0.04,0.043,g
2459375.572,2021-06-10.0732752,bp,1.55,18.028,>18.028,99.99,0.049,0.045,g
2459378.609,2021-06-13.1094998,bp,1.61,18.322,>18.322,99.99,0.02,0.034,g
2459384.555,2021-06-19.0553120,bp,1.52,18.634,>18.634,99.99,0.02,0.026,g
2459385.851,2021-06-20.3507325,bH,1.4,18.578,>18.578,99.99,0,0.027,g
2459385.924,2021-06-20.4236934,bt,1.64,18.119,>18.119,99.99,0.061,0.041,g
2459386.58,2021-06-21.0802243,bp,1.65,18.738,>18.738,99.99,-0.008,0.023,g
2459386.917,2021-06-21.4173030,bl,2.04,18.356,>18.356,99.99,-0.072,0.033,g
