index,JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin
0,2458206.6675231,ZTF_g,,,22.967536030818625,,ztf
1,2458206.7524884,ZTF_g,,,22.635941803872402,,ztf
2,2458210.6956481,ZTF_g,21.223404742641318,22.332477089505,20.68633275080173,,ztf
3,2458210.7542245,ZTF_g,21.1180210083176,22.2996020443153,20.565657540788713,,ztf
4,2458217.6941551,ZTF_r,,,,,ztf
5,2458223.6626505,ZTF_r,,,22.76750661273213,,ztf
6,2458223.6831481,ZTF_r,,,22.847045686561493,,ztf
7,2458227.6591782,ZTF_r,21.7360562063364,22.7266349586263,21.226826697703753,,ztf
8,2458227.6884028,ZTF_g,23.27568919335401,,22.230216463741662,,ztf
9,2458232.6520718,ZTF_g,,,21.50039904434832,,ztf
10,2458235.6976736,ZTF_g,23.038663818510912,,21.57952530492823,,ztf
11,2458238.6639005,ZTF_g,21.191699314004858,23.072433770654598,20.539667842947203,,ztf
12,2458243.6553704,ZTF_r,24.160364235242884,,22.059459324521132,,ztf
13,2458243.7082292,ZTF_g,,,,,ztf
14,2458249.6862269,ZTF_g,,,,,ztf
15,2458263.6726273,ZTF_r,,,,,ztf
16,2458369.9967708,ZTF_g,,,23.112674240143456,,ztf
17,2458373.0160648,ZTF_r,21.524087974186433,22.867804162408937,20.941646686492387,,ztf
18,2458375.9689815,ZTF_g,23.28251113245068,,21.993177417335296,,ztf
19,2458376.0147338,ZTF_r,,,,,ztf
20,2458378.993831,ZTF_g,22.79149686925919,,21.8777143907571,,ztf
21,2458379.0088773,ZTF_r,,,22.478327988826223,,ztf
22,2458383.0234259,ZTF_r,,,22.625203603068048,,ztf
23,2458384.9577546,ZTF_g,24.45308858358118,,21.545802985095104,,ztf
24,2458385.9930324,ZTF_g,,,,,ztf
25,2458386.0257639,ZTF_r,20.83090060681951,21.446160398143434,20.440594925391217,,ztf
26,2458388.9758681,ZTF_g,22.777058496953842,,21.491365286487465,,ztf
27,2458389.0206597,ZTF_r,20.87115015511803,21.229289686160875,20.602298796387107,,ztf
28,2458423.9773958,ZTF_g,,,22.760827820753523,,ztf
29,2458424.0171991,ZTF_r,,,,,ztf
30,2458426.9312616,ZTF_r,22.65694556270696,,21.81876186554078,,ztf
31,2458426.9759375,ZTF_g,,,,,ztf
32,2458427.8918866,ZTF_g,,,,,ztf
33,2458427.892338,ZTF_g,,,21.625369933484944,,ztf
34,2458429.8891319,ZTF_r,24.141199496646376,,22.295673974456562,,ztf
35,2458429.9534722,ZTF_g,22.47983601837631,23.46211900776087,21.972700680075842,,ztf
36,2458430.0069097,ZTF_r,,,23.581351040762026,,ztf
37,2458430.8729051,ZTF_g,23.217028477952926,,22.214355981984845,,ztf
38,2458430.8733681,ZTF_g,21.37180323308238,21.692256149043054,21.12469344721977,,ztf
39,2458432.8861806,ZTF_r,,,22.26393475153046,,ztf
40,2458432.8866319,ZTF_r,21.569864713187073,22.44069880499548,21.09291583448552,,ztf
41,2458432.9460532,ZTF_g,21.83546085731827,22.443928565524867,21.44785711902187,,ztf
42,2458433.0078819,ZTF_r,,,28.829830565903862,,ztf
43,2458438.9234491,ZTF_g,23.067200245467063,,22.049589877228833,,ztf
44,2458438.923912,ZTF_g,21.972028996762507,23.16223356557707,21.417927583473,,ztf
45,2458438.943669,ZTF_g,,,25.14504131347503,,ztf
46,2458439.0185648,ZTF_r,,,22.8773459820071,,ztf
47,2458439.8435301,ZTF_r,,,,,ztf
48,2458439.8439815,ZTF_r,21.399379441892744,22.077446215706047,20.985168631171835,,ztf
49,2458439.9269329,ZTF_g,20.228617912642424,20.37083190958229,20.102892721005894,,ztf
50,2458439.939838,ZTF_g,21.47564830520613,21.82383254554716,21.212425221858375,,ztf
51,2458441.86,ZTF_r,21.430663007765432,22.307066413111603,20.95210994492831,,ztf
52,2458441.8736458,ZTF_r,24.898102218867177,,22.193663793099,,ztf
53,2458441.9346296,ZTF_r,,,,,ztf
54,2458441.9773843,ZTF_g,,,26.30882505054012,,ztf
55,2458442.8434606,ZTF_r,,,,,ztf
56,2458442.8439236,ZTF_r,20.980975059008742,,20.22701362583846,,ztf
57,2458442.9374884,ZTF_g,,,,,ztf
58,2458443.8279398,ZTF_g,,,,,ztf
59,2458443.8283912,ZTF_g,22.745663770517886,,21.410633218912118,,ztf
60,2458443.8939699,ZTF_r,,,22.25038835811921,,ztf
61,2458443.8944213,ZTF_r,,,,,ztf
62,2458447.9534722,ZTF_r,,,,,ztf
63,2458448.0030671,ZTF_r,21.537315275477845,23.525845811074532,20.875372473840528,,ztf
64,2458455.9558102,ZTF_r,,,,,ztf
65,2458456.0016088,ZTF_r,24.34650015248452,,21.79463308435923,,ztf
66,2458462.0103819,ZTF_r,,,23.836941123981724,,ztf
67,2458464.7970602,ZTF_r,20.89410778620062,21.305649749573234,20.59639335436152,,ztf
