index,JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin
0,2458202.7773495,ZTF_g,,,,,ztf
1,2458205.7082986,ZTF_g,,,22.525307820003267,,ztf
2,2458205.7530671,ZTF_g,23.22678472450584,,21.709906901991374,,ztf
3,2458206.7671181,ZTF_g,22.984254882190786,,21.639473560375432,,ztf
4,2458206.7676852,ZTF_g,24.14561121110789,,21.858922927532458,,ztf
5,2458206.7910417,ZTF_g,,,22.570177672093113,,ztf
6,2458208.7892593,ZTF_g,,,24.761234323991456,,ztf
7,2458208.789838,ZTF_g,20.34708097419982,21.584595640820872,19.783733573844447,,ztf
8,2458214.6875116,ZTF_r,,,19.137022900349347,,ztf
9,2458214.7101505,ZTF_r,,,,,ztf
10,2458215.7134954,ZTF_g,,,24.8645281575255,,ztf
11,2458215.7320602,ZTF_r,22.060860520015105,,20.77154508827081,,ztf
12,2458217.7104167,ZTF_r,23.6489127225061,,22.202756011854838,,ztf
13,2458217.7276505,ZTF_r,,,23.423553600912047,,ztf
14,2458217.7464815,ZTF_r,21.43684415970518,23.647336322219168,20.75756410901785,,ztf
15,2458217.7474769,ZTF_r,21.9930979952731,23.33547930129241,21.410883324471083,,ztf
16,2458218.7271065,ZTF_r,24.219733991838442,,22.39830042503172,,ztf
17,2458218.7332755,ZTF_r,23.210763054754523,,22.069952988998253,,ztf
18,2458219.7027778,ZTF_r,,,,,ztf
19,2458221.695706,ZTF_r,23.82422771517271,,21.43293777229203,,ztf
20,2458223.6904514,ZTF_r,22.168229766913566,23.053243758443454,21.687217258766736,,ztf
21,2458224.6524537,ZTF_r,,,21.07453737399667,,ztf
22,2458224.6539352,ZTF_r,21.095179139464523,,19.794338101453597,,ztf
23,2458224.6866088,ZTF_r,,,,,ztf
24,2458224.6875926,ZTF_r,23.9734739107544,,21.861353017845264,,ztf
25,2458227.6533333,ZTF_r,22.011999968972965,23.29670647644444,21.439895368130884,,ztf
26,2458227.6543287,ZTF_r,,,22.64589626076247,,ztf
27,2458227.6908449,ZTF_g,,,24.226916505038446,,ztf
28,2458229.6536343,ZTF_g,,,22.441988149385562,,ztf
29,2458229.6845486,ZTF_r,22.125683338036062,24.104723390356178,21.46457070154328,,ztf
30,2458231.6762847,ZTF_r,,,22.3855996091162,,ztf
31,2458231.6772801,ZTF_r,,,22.86239229583902,,ztf
32,2458231.706412,ZTF_g,,,24.35847379552419,,ztf
33,2458232.6602199,ZTF_g,21.22487632777334,22.566632505481603,20.642767894279007,,ztf
34,2458232.7004398,ZTF_r,20.25172770466501,22.3318519494336,19.58216478969956,,ztf
35,2458233.7201505,ZTF_g,,,24.949490882331325,,ztf
36,2458234.6744444,ZTF_g,,,21.956780507074647,,ztf
37,2458234.6842477,ZTF_g,,,,,ztf
38,2458234.7355556,ZTF_g,,,22.13114983262382,,ztf
39,2458234.7369792,ZTF_g,,,,,ztf
40,2458235.6865046,ZTF_g,23.493416032954215,,21.780231733942973,,ztf
41,2458235.7026389,ZTF_g,,,,,ztf
42,2458236.6598958,ZTF_g,21.2353785159429,22.215087139359735,20.728897133921535,,ztf
43,2458236.7016551,ZTF_g,23.570102006737816,,21.605950674100967,,ztf
44,2458237.6649074,ZTF_g,22.327671131623713,,21.279671996129125,,ztf
45,2458237.6659028,ZTF_g,,,22.127557278729,,ztf
46,2458237.701331,ZTF_g,21.063618806058734,21.965588393651814,20.577835826340017,,ztf
47,2458237.7029745,ZTF_g,,,21.99601110404648,,ztf
48,2458238.6607407,ZTF_g,22.223921022649854,,21.15267089286682,,ztf
49,2458242.65375,ZTF_r,22.428241799079082,,21.657218325034098,,ztf
50,2458243.6873727,ZTF_r,22.439597517457607,24.75912895650101,21.753096361181946,,ztf
51,2458243.6969444,ZTF_g,24.994233236689535,,22.225702308086536,,ztf
52,2458244.6859375,ZTF_r,22.786159429769487,,21.82687672610519,,ztf
53,2458244.6968287,ZTF_g,22.134386932075127,23.138008007868414,21.621905238676973,,ztf
54,2458245.6605671,ZTF_r,22.87666180392381,,21.770606031422687,,ztf
55,2458245.6615046,ZTF_r,22.24342776832386,,21.46890250988773,,ztf
56,2458245.716875,ZTF_g,23.367894024288276,,21.982525222668468,,ztf
57,2458245.7188079,ZTF_g,,,22.48274334277899,,ztf
58,2458246.7183565,ZTF_r,,,22.97488055715941,,ztf
59,2458247.6844329,ZTF_g,,,,,ztf
60,2458247.7261343,ZTF_r,23.163676306802863,,21.972347411811736,,ztf
61,2458248.6861921,ZTF_g,,,24.48338051787684,,ztf
62,2458248.6871296,ZTF_g,23.55024537902478,,22.351712017235325,,ztf
63,2458249.6637616,ZTF_r,,,22.06128584398269,,ztf
64,2458249.6754167,ZTF_g,,,20.54898731284595,,ztf
65,2458254.6746528,ZTF_r,25.506951461706663,,22.530444073101986,,ztf
66,2458254.6755787,ZTF_r,,,22.915238886730435,,ztf
67,2458255.6753704,ZTF_g,24.478007305696142,,22.55639383386555,,ztf
68,2458257.722963,ZTF_r,22.912099320251226,,21.81846302285024,,ztf
69,2458257.7248264,ZTF_r,,,,,ztf
70,2458258.6995139,ZTF_r,,,22.744487790720036,,ztf
71,2458259.6784954,ZTF_g,20.335638452011967,,19.56456756344606,,ztf
72,2458259.7433681,ZTF_r,18.386318661957297,,17.28452788353354,,ztf
73,2458260.6734954,ZTF_r,,,22.971777975206233,,ztf
74,2458260.6744213,ZTF_r,,,22.78167962622781,,ztf
75,2458262.7353009,ZTF_r,,,,,ztf
76,2458263.6965162,ZTF_r,24.066221741494402,,22.27399727780871,,ztf
77,2458266.7581134,ZTF_r,23.50764280724383,,21.303339205780958,,ztf
78,2458266.7590278,ZTF_r,21.931070243688676,,20.850572702708362,,ztf
79,2458269.7396181,ZTF_g,,,21.898372768363444,,ztf
80,2458269.7414699,ZTF_g,21.77801780072083,,20.766281963516477,,ztf
81,2458270.7567014,ZTF_g,,,24.933552215409847,,ztf
82,2458271.681794,ZTF_r,22.107216034894392,24.065698937119734,21.4479289108539,,ztf
83,2458272.7223495,ZTF_g,,,22.64459582504382,,ztf
84,2458272.7259259,ZTF_g,24.84999647287966,,22.38516300728464,,ztf
85,2458274.7365856,ZTF_g,22.140853937192325,23.291884581714246,21.594782941350445,,ztf
86,2458277.6994329,ZTF_g,,,,,ztf
87,2458277.7018287,ZTF_g,22.42389547213756,24.89490117210681,21.728559146621404,,ztf
88,2458277.7393287,ZTF_r,,,22.91114039008163,,ztf
89,2458278.6986806,ZTF_g,23.4825771610259,,21.902793089739056,,ztf
90,2458278.7427546,ZTF_r,23.512030076690817,,21.790494742236092,,ztf
91,2458279.6991782,ZTF_g,,,,,ztf
92,2458280.6813773,ZTF_r,23.14786807266353,,21.767961660395443,,ztf
93,2458280.6851389,ZTF_r,,,22.179233566677997,,ztf
94,2458280.7391667,ZTF_g,,,22.77060549902079,,ztf
95,2458280.7410069,ZTF_g,23.141779531645785,,21.95359593964851,,ztf
96,2458284.6776042,ZTF_r,,,,,ztf
97,2458284.6790972,ZTF_r,,,,,ztf
98,2458284.7189005,ZTF_g,23.00209831196044,,21.824756327490068,,ztf
99,2458284.7198727,ZTF_g,21.37697409205185,22.006170537812885,20.981197578762888,,ztf
100,2458288.6993171,ZTF_g,21.857777704186894,23.479442902758134,21.234513184748344,,ztf
101,2458292.6981366,ZTF_g,23.07226834106654,,21.557677380772983,,ztf
102,2458298.7084028,ZTF_g,,,,,ztf
103,2458373.0219444,ZTF_r,,,22.101591231538208,,ztf
104,2458376.0219444,ZTF_r,22.609533524758827,,21.336697692472512,,ztf
105,2458379.0103356,ZTF_r,,,,,ztf
106,2458383.0287037,ZTF_r,,,21.787367285668154,,ztf
107,2458385.9911111,ZTF_g,23.62665442576163,,21.215794189885592,,ztf
108,2458386.0282292,ZTF_r,,,23.331568117127762,,ztf
109,2458389.0298264,ZTF_r,,,27.654787048347874,,ztf
110,2458397.9861343,ZTF_g,23.927321061811174,,22.398798938780033,,ztf
111,2458398.0267014,ZTF_r,23.49609200973054,,22.1721785304744,,ztf
112,2458422.9748264,ZTF_g,,,,,ztf
113,2458422.9757407,ZTF_g,22.871922213131157,,21.544634902963093,,ztf
114,2458423.0317361,ZTF_r,23.40438475812987,,21.70056982286733,,ztf
115,2458423.0326389,ZTF_r,22.289596630103347,,21.394101447606666,,ztf
116,2458423.9693866,ZTF_g,22.319114469337084,,21.45962319428181,,ztf
117,2458424.0125116,ZTF_r,23.12425226828787,,21.870939623466946,,ztf
118,2458425.0123264,ZTF_g,23.553374541755762,,22.084349445584518,,ztf
119,2458425.0313657,ZTF_r,,,,,ztf
120,2458425.9708333,ZTF_r,22.23336144078789,,21.460674743972305,,ztf
121,2458425.9731597,ZTF_r,22.565513513907803,,21.702393539786776,,ztf
122,2458426.0125579,ZTF_g,22.406953003267716,29.907499001828484,21.654920744905276,,ztf
123,2458426.0134722,ZTF_g,22.059919883462875,23.55451125689694,21.453841551036465,,ztf
124,2458426.0504051,ZTF_g,24.946692827351733,,21.75304045217023,,ztf
125,2458426.9664468,ZTF_g,,,23.058552044114297,,ztf
126,2458427.0130208,ZTF_r,22.69843484814522,,21.876165898198494,,ztf
127,2458427.9878125,ZTF_r,,,24.048687709242746,,ztf
128,2458428.0139815,ZTF_g,,,23.68785186406582,,ztf
129,2458428.0454977,ZTF_g,23.555732186123336,,22.207558453186245,,ztf
130,2458429.0145255,ZTF_r,21.89391237612801,22.709703272726106,21.433404551438418,,ztf
131,2458429.0154398,ZTF_r,,,23.255517534566195,,ztf
132,2458429.0326736,ZTF_g,23.230893184799992,,22.313459162734407,,ztf
133,2458429.0345023,ZTF_g,23.939409678243415,,22.59400122116879,,ztf
134,2458429.9524421,ZTF_g,,,,,ztf
135,2458430.0131481,ZTF_r,,,,,ztf
136,2458430.8885185,ZTF_g,,,23.45399604600105,,ztf
137,2458430.9895949,ZTF_r,,,23.278428940353514,,ztf
138,2458431.0115509,ZTF_g,23.214505493621395,,22.30016773693515,,ztf
139,2458431.9919907,ZTF_g,,,22.791094264901126,,ztf
140,2458431.9953356,ZTF_g,22.053077863195863,23.35000323309189,21.478778306520105,,ztf
