###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58194.428028  20.953  0.783    15   12 c  0   0.79 174.24897  55.16395  1085.78   905.00 2.61 2.25  48.5 -0.477 19.81 21.66 02a58194o0460c
58194.436376 -22.183  1.972    -5   10 c  0   1.12 174.24897  55.16395  1065.10   865.26 2.69 2.31  51.6 -0.477 19.80 21.66 02a58194o0478c
58194.438202 -21.512  0.957    -9    9 c  0   1.56 174.24897  55.16395  1131.30   938.56 2.57 2.28  50.2 -0.476 19.78 21.66 02a58194o0482c
58194.454109  22.457  2.517     4   10 c  0   1.18 174.24897  55.16395  1157.42   821.01 2.63 2.28  51.4 -0.473 19.74 21.64 02a58194o0515c
58194.459154 -22.758 43.857    -3  126 c  0   0.05 174.24897  55.16395  6673.06 10527.47 2.59 2.40  35.4 -0.430 19.79 21.69 02a58194o0526c
58196.478211 -16.939  1.680  -608 1022 c  0   0.86 174.24897  55.16395  7761.55  5610.98 2.50 2.42  51.7 -0.488 15.53 17.48 02a58196o0543c
58196.490053  22.762 10.500     3   30 c  0   1.27 174.24897  55.16395  7783.95  5495.63 2.48 2.37  55.3 -0.427 18.71 20.68 02a58196o0568c
58206.432210  19.988  1.081    37   40 o  0   1.04 174.24897  55.16395  3109.27  6015.42 3.77 2.97  89.8 -0.434 18.43 19.42 01a58206o0373o
58206.448023  19.822  0.881    43   38 o  0   1.42 174.24897  55.16395  3122.80  6115.64 3.78 2.93 -88.8 -0.435 18.39 19.42 01a58206o0407o
58206.452144 -21.597  4.727    -8   39 o  0   0.88 174.24897  55.16395  3070.33  6055.16 3.90 2.95  87.8 -0.427 18.41 19.42 01a58206o0416o
58206.464224  19.440  0.623    61   38 o  0   1.21 174.24897  55.16395  3054.10  6216.29 3.76 2.94  89.8 -0.430 18.40 19.42 01a58206o0442o
58214.447331  15.767  0.055  1791   98 o  0  52.09 174.24897  55.16395  1233.76  3141.47 3.47 3.34   8.7 -0.421 19.03 20.59 01a58214o0047o
58214.450535  17.715  0.175   298   52 o  0  42.92 174.24897  55.16395  1260.63  3194.25 3.51 3.10   5.5 -0.417 19.07 20.57 01a58214o0054o
58214.451911  15.914  0.061  1564   96 o  0  69.92 174.24897  55.16395  1204.81  3118.89 3.36 3.18  14.9 -0.429 19.07 20.55 01a58214o0057o
58214.463123  16.010  0.046  1432   67 o  0  67.78 174.24897  55.16395  1195.18  3275.25 3.10 3.01  15.8 -0.432 19.10 20.53 01a58214o0081o
58220.424657  21.283  1.147    11   13 o  0   0.89 174.24897  55.16395  8267.98  3888.57 2.12 2.05 -76.4 -0.452 19.62 20.75 02a58220o0434o
