HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459581.5,2022-01-01.9966042,bo,1.43,17.86,>17.860,99.99,-0.029,0.052,g
2459583.469,2022-01-03.9659619,bo,1.41,18.24,>18.240,99.99,-0.002,0.037,g
2459583.822,2022-01-04.3186087,bt,1.55,17.809,>17.809,99.99,0.104,0.055,g
2459584.427,2022-01-04.9240826,bo,1.43,17.873,>17.873,99.99,-0.219,0.052,g
2459584.862,2022-01-05.3593375,bt,1.67,17.834,>17.834,99.99,-0.121,0.053,g
2459585.403,2022-01-05.8999925,bo,1.56,17.973,>17.973,99.99,-0.042,0.047,g
2459586.539,2022-01-07.0357636,bo,1.47,17.946,>17.946,99.99,0.127,0.048,g
2459587.018,2022-01-07.5146662,bD,1.52,18.363,>18.363,99.99,-0.005,0.033,g
2459589.023,2022-01-09.5198043,bD,1.47,18.279,>18.279,99.99,0.017,0.035,g
2459591.078,2022-01-11.5746964,bC,1.6,18.505,>18.505,99.99,-0.009,0.029,g
2459592.507,2022-01-13.0032313,bo,1.47,18.203,>18.203,99.99,0.091,0.038,g
2459593.981,2022-01-14.4771270,bD,1.5,17.71,>17.710,99.99,-0.081,0.06,g
2459595.979,2022-01-16.4754582,bt,1.6,17.223,>17.223,99.99,-0.113,0.094,g
2459597.024,2022-01-17.5203209,bC,1.48,17.549,>17.549,99.99,-0.198,0.069,g
2459597.864,2022-01-18.3599934,bt,1.61,16.745,>16.745,99.99,-0.267,0.146,g
2459598.621,2022-01-19.1171119,bl,1.55,16.157,>16.157,99.99,0.691,0.25,g
2459598.927,2022-01-19.4231606,bs,1.48,16.984,>16.984,99.99,0.192,0.117,g
2459600.348,2022-01-20.8437135,bo,1.49,16.663,>16.663,99.99,-0.272,0.157,g
2459600.611,2022-01-21.1065694,bH,2.43,16.598,>16.598,99.99,-0.171,0.167,g
2459600.629,2022-01-21.1249480,bl,1.47,16.495,>16.495,99.99,0.007,0.183,g
2459600.967,2022-01-21.4621725,bs,1.57,17.167,>17.167,99.99,-0.43,0.099,g
2459601.893,2022-01-22.3888929,bt,2.27,17.251,>17.251,99.99,-0.125,0.091,g
2459602.47,2022-01-22.9657207,bo,1.46,16.987,>16.987,99.99,0.161,0.117,g
2459602.749,2022-01-23.2448587,bH,1.6,16.957,>16.957,99.99,-0.165,0.12,g
2459602.923,2022-01-23.4185609,bC,1.75,17.579,>17.579,99.99,-0.099,0.068,g
2459603.654,2022-01-24.1495420,bl,1.56,16.628,14.034,0.02,8.839,0.164,g
2459604.59,2022-01-25.0850217,bk,1.51,17.047,>17.047,99.99,-0.154,0.11,g
2459604.635,2022-01-25.1309582,bl,1.71,17.325,>17.325,99.99,-0.101,0.085,g
2459605.923,2022-01-26.4182197,bs,1.45,17.805,>17.805,99.99,0.038,0.055,g
2459606.531,2022-01-27.0265519,bp,1.7,17.86,>17.860,99.99,-0.109,0.052,g
2459606.953,2022-01-27.4486623,bC,1.43,18.869,>18.869,99.99,-0.008,0.021,g
2459608.053,2022-01-28.5479571,bD,1.49,18.29,>18.290,99.99,-0.038,0.035,g
2459608.84,2022-01-29.3353290,bG,1.43,18.122,>18.122,99.99,0.062,0.041,g
2459609.471,2022-01-29.9660193,bp,1.49,18.195,>18.195,99.99,0.084,0.038,g
2459609.943,2022-01-30.4386615,bs,1.46,18.331,>18.331,99.99,-0.09,0.034,g
2459610.946,2022-01-31.4411055,bt,1.57,18.095,>18.095,99.99,0.078,0.042,g
2459611.754,2022-02-01.2490641,bk,1.46,17.895,>17.895,99.99,0.025,0.05,g
2459612.706,2022-02-02.2013208,bG,1.42,17.501,>17.501,99.99,0.115,0.073,g
2459613.009,2022-02-02.5043894,bC,1.48,18.159,>18.159,99.99,-0.034,0.04,g
2459614.573,2022-02-04.0684767,bk,1.42,17.37,>17.370,99.99,0.095,0.082,g
