index,JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin
0,2458204.7164352,ZTF_g,21.20472808286106,23.39578354664237,20.526818537820148,,ztf
1,2458204.7810301,ZTF_g,,,21.87586804892781,,ztf
2,2458207.7634028,ZTF_g,20.91230598241605,22.386863311204216,20.309152466037027,,ztf
3,2458207.7852894,ZTF_g,21.6768423525087,,20.637103907173355,,ztf
4,2458210.7627083,ZTF_g,,,,,ztf
5,2458210.7763889,ZTF_g,20.633539711390227,21.766728145427006,20.09124388235457,,ztf
6,2458218.6933796,ZTF_r,22.143528286999263,23.52421219725224,21.554938673292085,,ztf
7,2458218.7199537,ZTF_r,23.34107231886222,,21.952398884958598,,ztf
8,2458223.6785185,ZTF_r,22.55446940478684,25.382006601685422,21.84280501802646,,ztf
9,2458229.6637384,ZTF_g,,,23.461915313271607,,ztf
10,2458229.6886343,ZTF_r,23.226409513440135,,21.88405008479114,,ztf
11,2458232.6478588,ZTF_g,,,19.856963071540207,,ztf
12,2458235.6689699,ZTF_g,21.400432136591554,24.20208253392281,20.689774186951002,,ztf
13,2458235.6907407,ZTF_g,,,24.231143444735075,,ztf
14,2458238.6682176,ZTF_g,22.492396092283702,,20.904509505644477,,ztf
15,2458244.6526852,ZTF_r,25.4440148698995,,22.36672833979245,,ztf
16,2458244.6920255,ZTF_g,,,23.682760082380902,,ztf
17,2458247.713831,ZTF_r,24.201115090300874,,22.285343706933375,,ztf
18,2458258.6620139,ZTF_g,20.8355201753615,21.33985096465057,20.49248757462683,,ztf
19,2458258.6909838,ZTF_r,23.888999585044537,,22.135146733821813,,ztf
20,2458425.0023495,ZTF_g,22.527252849709587,,21.533031859990427,,ztf
21,2458425.0438657,ZTF_r,,,,,ztf
22,2458427.9993866,ZTF_r,,,22.41071172034899,,ztf
23,2458428.0416667,ZTF_g,,,22.55643717808906,,ztf
24,2458430.9803588,ZTF_r,,,23.03559528771136,,ztf
25,2458431.0215278,ZTF_g,,,,,ztf
26,2458438.9642245,ZTF_g,,,25.204157176180047,,ztf
27,2458438.9785417,ZTF_g,23.999881095671064,,22.376386396314114,,ztf
28,2458439.0214699,ZTF_r,,,,,ztf
29,2458439.0223843,ZTF_r,,,22.695309199902987,,ztf
30,2458440.0089931,ZTF_g,,,,,ztf
31,2458440.9801042,ZTF_g,21.42906874913556,22.120298585351723,21.010084175446025,,ztf
32,2458441.0441204,ZTF_r,22.23857652243879,24.140578133374184,21.584503557136582,,ztf
33,2458441.9852199,ZTF_g,,,23.226988284958292,,ztf
34,2458441.9996181,ZTF_g,,,,,ztf
35,2458442.0540856,ZTF_r,,,21.873189237698963,,ztf
36,2458442.9849769,ZTF_g,19.959627652702682,,19.11396178580682,,ztf
37,2458443.9587847,ZTF_r,,,23.72010718246327,,ztf
38,2458447.9591667,ZTF_r,21.401265328659868,23.802638813193905,20.709828908075448,,ztf
39,2458447.9774769,ZTF_r,,,22.22393872230827,,ztf
40,2458448.0422338,ZTF_r,23.43630247355877,,21.298098364704337,,ztf
41,2458448.9829861,ZTF_r,22.629861039614163,,21.39968520603114,,ztf
42,2458449.0627431,ZTF_r,22.478258866484516,,21.17195035498761,,ztf
43,2458449.9777315,ZTF_r,20.865693604258336,22.278230245860925,20.271998226462507,,ztf
44,2458450.0112269,ZTF_r,,,22.00756096706932,,ztf
45,2458450.9641319,ZTF_g,,,,,ztf
46,2458450.9823611,ZTF_g,,,23.85360097476872,,ztf
47,2458462.9771759,ZTF_g,,,19.63305534523707,,ztf
48,2458462.9780903,ZTF_g,18.426512427623397,,17.588448031416675,,ztf
49,2458465.0209028,ZTF_g,21.782403473312723,22.320655325539086,21.424175375791258,,ztf
50,2458465.0710532,ZTF_r,20.31286708043442,21.227791356292414,19.823502961917356,,ztf
51,2458465.9802662,ZTF_r,,,22.73884819020009,,ztf
52,2458465.9811806,ZTF_r,22.49424106004332,,21.699569970644113,,ztf
53,2458466.0225347,ZTF_g,23.24835770172385,,22.209704865512553,,ztf
54,2458466.0243634,ZTF_g,,,,,ztf
55,2458468.9420718,ZTF_g,,,25.955785313002824,,ztf
56,2458468.9587269,ZTF_g,24.629166002881416,,22.619980163689274,,ztf
57,2458468.9943981,ZTF_r,24.090141350247922,,22.33668669361658,,ztf
58,2458468.9953125,ZTF_r,22.31188941629977,24.2571320348621,21.653798149056236,,ztf
59,2458469.9779977,ZTF_r,24.4702810323094,,21.844270786404163,,ztf
60,2458470.0016782,ZTF_g,,,23.18937044024242,,ztf
61,2458472.9577546,ZTF_r,,,22.152912694941378,,ztf
62,2458472.958669,ZTF_r,,,,,ztf
63,2458472.9992014,ZTF_g,,,22.286046787694506,,ztf
64,2458474.9741435,ZTF_r,,,22.87220394417566,,ztf
65,2458476.0198148,ZTF_g,20.914720630863542,21.785090794264317,20.437905860996636,,ztf
66,2458476.0208449,ZTF_g,24.95910607840359,,21.49174892575998,,ztf
67,2458477.0148611,ZTF_r,23.14851769726136,,21.639841861483475,,ztf
68,2458480.9579977,ZTF_r,21.64468607197548,23.57899818436773,20.98759410153656,,ztf
69,2458481.000081,ZTF_g,,,22.601592062411346,,ztf
70,2458482.0055093,ZTF_r,21.926446231601645,23.625699227338984,21.293751770064308,,ztf
71,2458487.9198958,ZTF_r,23.134559084059422,,21.801303291604004,,ztf
72,2458487.9603588,ZTF_g,22.704512451532224,25.934544344509828,21.98001015092438,,ztf
73,2458491.9583333,ZTF_g,24.096730725841063,,21.87913059035808,,ztf
74,2458494.9619329,ZTF_g,,,,,ztf
75,2458506.9209838,ZTF_r,20.86926732118956,22.347931120351134,20.26550924064415,,ztf
76,2458512.8781829,ZTF_g,19.700083946930047,23.121542052773822,18.97099445254839,,ztf
77,2458524.9415046,ZTF_r,,,22.232888910530985,,ztf
78,2458538.7497917,ZTF_r,,,21.038946648919612,,ztf
79,2458546.8138194,ZTF_r,23.347758287907183,,22.047361666122637,,ztf
80,2458559.7454977,ZTF_r,21.403074852422275,22.71978711514144,20.825281983451053,,ztf
81,2458559.793287,ZTF_g,,,21.829259726597684,,ztf
82,2458568.7127894,ZTF_g,,,23.13952452931975,,ztf
83,2458568.7743519,ZTF_r,23.190489737403347,,22.04825724383177,,ztf
84,2458573.7238542,ZTF_g,24.359225046417823,,21.982705070038715,,ztf
85,2458573.7527894,ZTF_r,26.105696458445163,,22.351904271511284,,ztf
86,2458581.7315741,ZTF_r,23.369007633988996,,22.030139083451754,,ztf
87,2458584.6681597,ZTF_r,21.888213259446864,24.366136507374453,21.192503719911866,,ztf
88,2458584.7283912,ZTF_g,,,23.12064012567893,,ztf
89,2458587.7115625,ZTF_g,,,24.94590489753524,,ztf
90,2458587.7548495,ZTF_r,,,23.626533882671502,,ztf
91,2458592.6701968,ZTF_g,,,21.908319624895128,,ztf
92,2458592.7462153,ZTF_r,,,23.017046493400294,,ztf
93,2458596.6885185,ZTF_g,,,,,ztf
94,2458599.6817245,ZTF_g,21.992895357481075,23.23479171110725,21.42871570670877,,ztf
95,2458602.7350694,ZTF_r,,,19.127823835112157,,ztf
96,2458608.6897917,ZTF_g,22.333675543389937,24.344583728063988,21.669806228851428,,ztf
97,2458608.7108912,ZTF_r,22.031300809958182,23.974135674410213,21.373428724295003,,ztf
98,2458617.7319792,ZTF_r,,,,,ztf
99,2458774.0287153,ZTF_r,21.130140269631234,24.20083220583476,20.410142704705574,,ztf
100,2458774.0337269,ZTF_r,21.7787137423049,,20.65384411711343,,ztf
101,2458774.0387269,ZTF_r,22.899075200978654,,20.831814390091864,,ztf
102,2458786.0202431,ZTF_r,,,21.867718726164497,,ztf
103,2458790.0209375,ZTF_g,,,24.09816097887504,,ztf
104,2458793.0211574,ZTF_r,22.503035915971868,,21.595478511775084,,ztf
