index,JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin
0,2458197.9160069,ZTF_r,,,,,ztf
1,2458198.8790625,ZTF_r,,,,,ztf
2,2458198.8981481,ZTF_r,,,,,ztf
3,2458198.9355556,ZTF_r,,,24.02356947629985,,ztf
4,2458198.9560417,ZTF_r,26.243058105100378,,22.799956689751536,,ztf
5,2458198.9622801,ZTF_r,24.303227378922966,,22.464564572351286,,ztf
6,2458198.9807407,ZTF_r,22.215706340025545,23.119916752186402,21.72930000728952,,ztf
7,2458202.8782407,ZTF_g,,,22.751016853735884,,ztf
8,2458203.858588,ZTF_g,,,,,ztf
9,2458203.8817824,ZTF_g,22.190167153927344,23.716116248014742,21.57963299077678,,ztf
10,2458203.9146528,ZTF_g,23.573652895130788,,22.29462412552174,,ztf
11,2458203.9156019,ZTF_g,,,,,ztf
12,2458203.9210301,ZTF_g,21.828593053261116,22.822987530271273,21.31840701265972,,ztf
13,2458204.8888773,ZTF_g,,,,,ztf
14,2458204.903206,ZTF_g,22.92785406818442,,21.79049921525878,,ztf
15,2458204.9259375,ZTF_g,22.966987083965893,,21.782019320244597,,ztf
16,2458204.9456597,ZTF_g,22.376966930804628,26.666589137199452,21.63488597785721,,ztf
17,2458204.9594097,ZTF_g,23.95343005642751,,22.462414955928658,,ztf
18,2458205.8884028,ZTF_g,21.792795517587834,,20.90421797289988,,ztf
19,2458205.9049769,ZTF_g,,,22.13906143519111,,ztf
20,2458205.9268287,ZTF_g,21.16141104918428,,19.973917221825154,,ztf
21,2458205.9427199,ZTF_g,21.64407435180007,22.968316828200834,21.06497158304977,,ztf
22,2458205.9872222,ZTF_g,21.933046412822264,22.97870434305495,21.410407476818,,ztf
23,2458206.0059606,ZTF_g,24.001678896554072,,22.493301524121986,,ztf
24,2458206.8460185,ZTF_g,,,22.56686465959878,,ztf
25,2458206.8822106,ZTF_g,,,,,ztf
26,2458206.883669,ZTF_g,23.487995123702817,,21.8100452664896,,ztf
27,2458206.9054398,ZTF_g,,,22.09344457807614,,ztf
28,2458206.9207755,ZTF_g,,,23.094765618245567,,ztf
29,2458206.9217245,ZTF_g,25.228672957110298,,23.711153002068006,,ztf
30,2458206.9589815,ZTF_g,,,,,ztf
31,2458207.0048611,ZTF_g,23.763508597205462,24.626964577851787,23.288701310385555,,ztf
32,2458207.8823611,ZTF_g,,,25.007271243799174,,ztf
33,2458207.9084954,ZTF_g,,,21.958490793815695,,ztf
34,2458207.9322801,ZTF_g,,,24.589101199105972,,ztf
35,2458207.9437731,ZTF_g,,,21.83420466216257,,ztf
36,2458207.982581,ZTF_g,23.153870193803282,,21.572048172184864,,ztf
37,2458208.8624769,ZTF_g,,,20.61243173766811,,ztf
38,2458208.9061227,ZTF_g,,,21.531451424943715,,ztf
