field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,mag,mag_err_lower,mag_err_upper
550,14,3,ZTF_r,996148615515,0,3.2451,115.056,6.59408,25.9798,1.30631e-05,0.0329328,0.123084,1.81162e-05,658,30.0,0.093848,0.070292,19.7071,25.9798,1,2458750.6486111,550120255,54.0303446168732,44.8619293869478,1.33972169799106,0.982100599350338,26.2791523108079,62.6697113442004,0.422151998886431,1.13265271148658,3.59187277804243,23.1130000591278,0.340000003576279,0.700999975204468,-0.479000002145767,2458277.927026,2458437.773692,0,21.648205656076634,23.574064315235532,20.991894091244
550,14,3,ZTF_g,996178285515,8,5.2287,73.1227,4.975,26.0445,6.34302e-05,0.0540023,-0.0236434,0.000116831,388,30.0,0.126366,0.098524,19.6143,26.0445,1,2458750.678287,550120155,67.0252044896156,50.0014001550599,1.49111377751403,0.995844999369067,89.8073791078777,58.3956353508466,1.5482704560028,1.34626929668605,0.684644289027006,22.5719999790192,0.24099999666214,0.935000002384186,-0.188999995589256,2458277.961921,2458340.977176,0,21.47890463084588,22.966858452449795,20.873788488008238
1596,6,3,ZTF_g,996393722315,0,2.6374,98.1194,5.03097,26.1327,1.51549e-05,0.0357484,-0.0672581,2.24011e-05,609,30.0,0.080283,0.053173,20.2943,26.1327,2,2458750.8937269,1596120123,-25.4721093949151,30.6169811216677,-0.925459346601755,0.897344695419531,-11.5084161023598,49.5231077363471,-0.233949896856765,1.0640283372823,1.96120987156998,21.9259998321533,0.151999995112419,1.11500000953674,-0.0040000001899898,2458314.987789,2458424.702292,0,,,24.354263621766982
1596,6,3,ZTF_g,996394172315,0,2.6308,98.098,5.03897,26.1377,1.5791e-05,0.0368083,-0.0753984,2.30397e-05,617,30.0,0.074781,0.053523,20.3163,26.1377,3,2458750.8941782,1596120123,6.35029833596344,27.354299549325,0.258239892050736,1.08202716252065,16.7482300488174,44.7388790741,0.376876459373905,1.06427073487297,1.96120987156998,21.9259998321533,0.151999995112419,1.11500000953674,-0.0040000001899898,2458314.987789,2458424.702292,0,24.130714677864887,,22.31847712467613
550,14,3,ZTF_r,997147475515,0,2.7676,112.876,6.7674,25.9717,1.09436e-05,0.0301965,0.100233,1.51765e-05,662,30.0,0.091259,0.078904,19.7915,25.9717,1,2458751.6474769,550120255,6.78068329587419,41.7925251932704,0.180480235294728,0.945902945191033,24.963210848101,65.1486090310247,0.385754045760993,1.06718520115333,3.59187277804243,23.1130000591278,0.340000003576279,0.700999975204468,-0.479000002145767,2458277.927026,2458437.773692,0,23.893516349154172,,21.75570802095976
550,14,3,ZTF_g,997175925515,0,2.3581,74.1823,4.99421,26.0469,1.55913e-05,0.0358617,-0.0552844,2.23193e-05,647,30.0,0.072215,0.059985,20.322,26.0469,1,2458751.6759259,550120155,-8.72176259632476,27.9191032316135,-0.347502231440289,1.02695997461593,-31.4502872924888,47.4442908503092,-0.667353357367903,1.07471112725419,0.684644289027006,22.5719999790192,0.24099999666214,0.935000002384186,-0.188999995589256,2458277.961921,2458340.977176,0,,,22.838797322435386
1596,6,3,ZTF_r,997290402315,0,1.8224,185.005,5.93112,26.1677,6.9841e-06,0.0245835,0.108999,9.77306e-06,632,30.0,0.061355,0.052532,20.4565,26.1677,2,2458751.7904051,1596120223,15.9269788493075,25.8001972586938,0.686697044134937,0.944422289619763,19.8927900473509,50.3703700303773,0.397590272232901,1.03670168344376,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,23.16236649168181,,22.116652513071557
1596,6,3,ZTF_r,997290852315,0,1.6991,185.195,5.94804,26.1696,6.4813e-06,0.0236622,0.107577,9.08712e-06,632,30.0,0.071755,0.051694,20.5095,26.1696,3,2458751.7908565,1596120223,-11.4759965347647,25.523888230819,-0.500147814439883,0.893650026608708,18.476057204073,51.118847898124,0.363867639376969,1.03662836730409,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,,,23.30057212417923
550,14,3,ZTF_i,997339595515,0,1.8674,139.019,6.0635,25.3936,2.6048e-06,0.0225129,0.188704,1.16975e-05,664,30.0,0.068397,0.056346,19.6512,25.3936,2,2458751.8395949,550120355,-23.5747965584914,26.4569450008392,-0.991204032532156,0.929333811256131,-18.4601019759373,49.7588591157167,-0.373489910241441,1.05333170409318,2.81394629049144,21.2289997673035,0.138999998569489,1.13499999046326,0.252000004053116,2458302.961412,2458387.901586,0,,,24.244309137541777
1596,6,3,ZTF_i,997367922315,0,1.8179,170.442,7.06555,25.6044,2.1599e-06,0.0204884,0.192243,9.8169e-06,637,30.0,0.066321,0.062125,19.7978,25.6044,2,2458751.8679282,1596120323,-21.2561490997156,25.4938616477834,-0.927478314744244,0.987217148905514,-40.2331170167147,49.9874019615617,-0.810285947762938,1.03935791803017,3.46532527591186,21.1279999351501,0.160999998450279,1.91600000858307,0.354999989271164,2458369.853183,2459525.677998,0,,,24.036571264073615
