JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin,norm_t,norm_m,max_ztf_err,mag_err_all
2459708.7051389,ZTF_r,17.39674591227955,0.023881236945989315,0.023367244040898072,,ztf,4.114676899742335,0.14274591227954758,0.023881236945989315,0.023881236945989315
2459708.7133912,ZTF_r,17.356819592063516,0.02219153715097022,0.02174703091912278,,ztf,4.122929200064391,0.10281959206351488,0.02219153715097022,0.02219153715097022
2459710.6724769,ZTF_g,16.308513202295416,0.010489091644416249,0.010388727345862492,,ztf,6.08201489970088,-0.9454867977045858,0.010489091644416249,0.010489091644416249
2459710.7346181,ZTF_r,16.49647562465559,0.012311806719896623,0.012173759775517823,,ztf,6.1441560997627676,-0.7575243753444099,0.012311806719896623,0.012311806719896623
2459712.6717477,ZTF_g,16.529192569828353,0.011653758850933116,0.011530000318238365,,ztf,8.081285699736327,-0.7248074301716478,0.011653758850933116,0.011653758850933116
2459712.6934722,ZTF_r,16.541654350775474,0.010643003614170254,0.010539686792228053,,ztf,8.103010199964046,-0.7123456492245275,0.010643003614170254,0.010643003614170254
2459714.6713426,ZTF_r,16.792752339770765,0.012872806875186882,0.01272196972471562,,ztf,10.08088060002774,-0.4612476602292368,0.012872806875186882,0.012872806875186882
2459714.7328472,ZTF_g,16.95847507051394,0.025353435003484748,0.0247748817210649,,ztf,10.142385199666023,-0.29552492948606,0.025353435003484748,0.025353435003484748
2459717.7486343,ZTF_r,17.17304069072714,0.02447467355463928,0.02393510587717884,,ztf,13.158172300085425,-0.08095930927285977,0.02447467355463928,0.02447467355463928
2459719.7283681,ZTF_r,17.167069478226672,0.014639030980042378,0.014444275244173355,,ztf,15.137906099669635,-0.08693052177332916,0.014639030980042378,0.014639030980042378
2459722.6861227,ZTF_g,17.30381732516188,0.016901988662993972,0.016642898404494844,,ztf,18.095660699997097,0.049817325161878756,0.016901988662993972,0.016901988662993972
2459722.7039005,ZTF_g,17.372161781501845,0.021641666558469552,0.021218706473458582,,ztf,18.113438500091434,0.11816178150184342,0.021641666558469552,0.021641666558469552
2459724.6942708,ZTF_g,17.285445580907354,0.017222781113851227,0.016953840726849023,,ztf,20.103808799758554,0.031445580907352166,0.017222781113851227,0.017222781113851227
2459706.543195,o,20.944,,,1.6,atlas,1.9527329998090863,3.6899999999999977,,1.6
2459706.549447,o,23.594,,,8.909,atlas,1.9589849999174476,6.34,,8.909
2459709.528272,o,16.638,,,0.133,atlas,4.9378100000321865,-0.6159999999999997,,0.133
2459709.531818,o,16.485,,,0.312,atlas,4.941356000024825,-0.7690000000000019,,0.312
2459709.541651,o,16.476,,,0.474,atlas,4.951188999693841,-0.7780000000000022,,0.474
2459709.546778,o,16.835,,,0.138,atlas,4.956315999850631,-0.4190000000000005,,0.138
2459710.566447,o,16.593,,,0.026,atlas,5.975984999909997,-0.6610000000000014,,0.026
2459710.570877,o,16.514,,,0.027,atlas,5.98041500011459,-0.740000000000002,,0.027
2459710.581619,o,16.567,,,0.026,atlas,5.991156999953091,-0.6870000000000012,,0.026
2459710.589856,o,16.555,,,0.024,atlas,5.99939400004223,-0.6990000000000016,,0.024
2459710.781018,o,17.333,,,2.006,atlas,6.190555999986827,0.07899999999999707,,2.006
2459710.784314,o,16.444,,,0.663,atlas,6.193851999938488,-0.8100000000000023,,0.663
2459710.79122,o,16.632,,,0.422,atlas,6.200757999904454,-0.6219999999999999,,0.422
2459710.802891,o,16.32,,,0.261,atlas,6.212429000064731,-0.934000000000001,,0.261
2459711.600775,o,16.33,,,0.098,atlas,7.010313000064343,-0.924000000000003,,0.098
2459711.621283,o,16.587,,,0.037,atlas,7.030820999760181,-0.6670000000000016,,0.037
2459714.524227,o,16.803,,,0.039,atlas,9.933764999732375,-0.4510000000000005,,0.039
2459714.544958,o,16.927,,,0.038,atlas,9.954495999962091,-0.32700000000000173,,0.038
2459714.548134,o,16.819,,,0.039,atlas,9.957671999931335,-0.4350000000000023,,0.039
2459714.560474,o,16.884,,,0.038,atlas,9.970011999830604,-0.370000000000001,,0.038
2459714.829184,o,16.923,,,0.049,atlas,10.23872199980542,-0.33100000000000307,,0.049
2459714.832876,o,17.024,,,0.059,atlas,10.242413999978453,-0.23000000000000043,,0.059
2459714.838404,o,16.865,,,0.051,atlas,10.247941999696195,-0.3890000000000029,,0.051
2459714.849467,o,16.945,,,0.065,atlas,10.259004999883473,-0.30900000000000105,,0.065
2459715.529225,o,17.103,,,0.062,atlas,10.938763000071049,-0.1509999999999998,,0.062
2459715.531935,o,16.929,,,0.053,atlas,10.941472999751568,-0.32500000000000284,,0.053
2459715.539195,o,17.014,,,0.052,atlas,10.948733000084758,-0.240000000000002,,0.052
2459715.550039,o,17.118,,,0.065,atlas,10.959576999768615,-0.13600000000000279,,0.065
2459716.808174,o,17.042,,,0.043,atlas,12.217712000012398,-0.21199999999999974,,0.043
2459716.811371,o,17.188,,,0.045,atlas,12.220908999908715,-0.0660000000000025,,0.045
2459716.818233,o,17.118,,,0.041,atlas,12.227771000005305,-0.13600000000000279,,0.041
2459716.831937,o,17.223,,,0.054,atlas,12.241475000046194,-0.03100000000000236,,0.054
2459717.550489,o,17.164,,,0.041,atlas,12.960026999935508,-0.08999999999999986,,0.041
2459717.555393,o,17.199,,,0.044,atlas,12.96493100002408,-0.054999999999999716,,0.044
2459717.578944,o,17.146,,,0.046,atlas,12.988481999840587,-0.10800000000000054,,0.046
2459717.587173,o,17.178,,,0.046,atlas,12.99671099986881,-0.07600000000000051,,0.046
2459719.58171,o,17.205,,,0.031,atlas,14.991247999947518,-0.04900000000000304,,0.031
2459719.584871,o,17.185,,,0.043,atlas,14.994409000035375,-0.06900000000000261,,0.043
2459719.590462,o,17.254,,,0.041,atlas,15.0,0.0,,0.041
2459719.602481,o,17.131,,,0.036,atlas,15.012019000016153,-0.12300000000000111,,0.036
2459720.80122,c,17.277,,,0.028,atlas,16.210757999680936,0.022999999999999687,,0.028
2459720.8067,c,17.258,,,0.029,atlas,16.216237999964505,0.003999999999997783,,0.029
2459720.810357,c,17.291,,,0.029,atlas,16.21989500010386,0.036999999999999034,,0.029
2459720.820412,c,17.251,,,0.028,atlas,16.22995000006631,-0.0030000000000001137,,0.028
2459722.742616,o,17.1,,,0.048,atlas,18.15215400001034,-0.15399999999999991,,0.048
2459722.743076,o,17.013,,,0.039,atlas,18.152613999787718,-0.24099999999999966,,0.039
2459722.74584,o,17.013,,,0.036,atlas,18.15537799987942,-0.24099999999999966,,0.036
2459722.7463,o,17.011,,,0.033,atlas,18.155838000122458,-0.2430000000000021,,0.033
2459722.751823,o,21.207,,,6.938,atlas,18.161361000034958,3.9529999999999994,,6.938
2459722.752284,o,17.057,,,0.031,atlas,18.16182200005278,-0.19700000000000273,,0.031
2459722.764839,o,17.065,,,0.029,atlas,18.17437699995935,-0.18900000000000006,,0.029
2459722.7653,o,17.014,,,0.026,atlas,18.17483799997717,-0.240000000000002,,0.026
2459724.746252,c,17.081,,,0.048,atlas,20.155789999756962,-0.17300000000000182,,0.048
2459724.749447,c,17.167,,,0.038,atlas,20.158985000103712,-0.08699999999999974,,0.038
2459724.75493,c,17.126,,,0.036,atlas,20.164467999711633,-0.1280000000000001,,0.036
