dateobs jd mag dmag telescope filter magtype
2019-10-09 2458765.57509 18.4719 0.0596 1m0-05 B 1
2019-10-09 2458765.58166 18.6671 0.0802 1m0-05 V 1
2019-10-09 2458765.58445 18.5011 0.0657 1m0-05 g 1
2019-10-09 2458765.58824 18.3596 0.0441 1m0-05 g 1
2019-10-09 2458765.59219 18.9809 0.2720 1m0-05 r 1
2019-10-09 2458765.59481 19.2438 0.0730 1m0-05 r 1
2019-10-10 2458766.62669 18.6887 0.0294 1m0-09 B 1
2019-10-10 2458766.63047 18.6833 0.0195 1m0-09 B 1
2019-10-10 2458766.63441 18.7308 0.0312 1m0-09 V 1
2019-10-10 2458766.63703 18.7385 0.0385 1m0-09 V 1
2019-10-10 2458766.63981 18.6014 0.0421 1m0-09 g 1
2019-10-10 2458766.64359 18.6608 0.0153 1m0-09 g 1
2019-10-10 2458766.64753 18.4934 0.0260 1m0-09 r 1
2019-10-10 2458766.65015 18.5255 0.0230 1m0-09 r 1
2019-10-10 2458766.65294 18.5180 0.0300 1m0-09 i 1
2019-10-10 2458766.65556 18.4346 0.0360 1m0-09 i 1
2019-10-10 2458767.35130 18.8255 0.0950 1m0-13 B 1
2019-10-10 2458767.36165 18.9146 0.0772 1m0-13 V 1
2019-10-11 2458768.31629 18.8304 0.1138 1m0-13 B 1
2019-10-11 2458768.32007 18.7898 0.1049 1m0-13 B 1
2019-10-11 2458768.32404 18.7810 0.0970 1m0-13 V 1
2019-10-11 2458768.32666 18.8020 0.1218 1m0-13 V 1
2019-10-11 2458768.32946 18.9212 0.0893 1m0-13 g 1
2019-10-11 2458768.33325 18.6849 0.0555 1m0-13 g 1
2019-10-11 2458768.33724 18.5204 0.0670 1m0-13 r 1
2019-10-11 2458768.33986 18.5719 0.0660 1m0-13 r 1
2019-10-11 2458768.34265 18.6189 0.0900 1m0-13 i 1
2019-10-11 2458768.34528 18.7872 0.1130 1m0-13 i 1
2019-10-11 2458768.38197 18.9353 0.0881 1m0-13 B 1
2019-10-11 2458768.38576 18.9299 0.0871 1m0-13 B 1
2019-10-11 2458768.38971 18.6532 0.0910 1m0-13 V 1
2019-10-11 2458768.39233 18.7544 0.1039 1m0-13 V 1
2019-10-11 2458768.39513 18.8437 0.0813 1m0-13 g 1
2019-10-11 2458768.39889 19.0604 0.1372 1m0-13 g 1
2019-10-11 2458768.40285 18.9934 0.2250 1m0-13 r 1
2019-10-11 2458768.40548 18.8000 0.1440 1m0-13 r 1
2019-10-11 2458768.40826 18.8761 0.1220 1m0-13 i 1
2019-10-14 2458771.30802 18.7768 0.0891 1m0-10 B 1
2019-10-14 2458771.31179 18.9023 0.1039 1m0-10 B 1
2019-10-14 2458771.31573 18.7184 0.0881 1m0-10 V 1
2019-10-14 2458771.31836 18.9001 0.1119 1m0-10 V 1
2019-10-14 2458771.32115 18.9369 0.0755 1m0-10 g 1
2019-10-14 2458771.32492 19.0569 0.0914 1m0-10 g 1
2019-10-14 2458771.32888 18.6591 0.0680 1m0-10 r 1
2019-10-14 2458771.33150 18.6646 0.0630 1m0-10 r 1
2019-10-14 2458771.33429 18.6685 0.0870 1m0-10 i 1
2019-10-14 2458771.33692 18.5414 0.0621 1m0-10 i 1
2019-10-15 2458772.05378 18.6565 0.0442 1m0-11 B 1
2019-10-15 2458772.05756 18.7117 0.0413 1m0-11 B 1
2019-10-15 2458772.06154 18.5782 0.0538 1m0-11 V 1
2019-10-15 2458772.06417 18.6309 0.0577 1m0-11 V 1
2019-10-15 2458772.06696 18.5731 0.0453 1m0-11 g 1
2019-10-15 2458772.07075 18.5403 0.0383 1m0-11 g 1
2019-10-15 2458772.07471 18.4541 0.0331 1m0-11 r 1
2019-10-15 2458772.07732 18.3832 0.0510 1m0-11 r 1
2019-10-15 2458772.08012 18.6334 0.0900 1m0-11 i 1
2019-10-15 2458772.08274 18.4813 0.0860 1m0-11 i 1
2019-10-22 2458779.38309 18.7003 0.0385 1m0-10 B 1
2019-10-22 2458779.38687 18.6904 0.0210 1m0-10 B 1
2019-10-22 2458779.39080 18.4212 0.0226 1m0-10 V 1
2019-10-22 2458779.39342 18.2645 0.0218 1m0-10 V 1
2019-10-22 2458779.39620 18.5035 0.0121 1m0-10 g 1
2019-10-22 2458779.39998 18.5170 0.0112 1m0-10 g 1
2019-10-22 2458779.40392 18.2641 0.0150 1m0-10 r 1
2019-10-22 2458779.40654 18.2714 0.0150 1m0-10 r 1
2019-10-22 2458779.40932 18.1206 0.0210 1m0-10 i 1
2019-10-22 2458779.41194 18.2300 0.0160 1m0-10 i 1
2019-10-26 2458782.82620 18.7459 0.0218 1m0-06 B 1
2019-10-26 2458782.83000 18.7491 0.0234 1m0-06 B 1
2019-10-26 2458782.83396 18.4192 0.0268 1m0-06 V 1
2019-10-26 2458782.83658 18.3650 0.0259 1m0-06 V 1
2019-10-26 2458782.83936 18.6913 0.0172 1m0-06 g 1
2019-10-26 2458782.84313 18.5191 0.0162 1m0-06 g 1
2019-10-26 2458782.84708 18.1353 0.0170 1m0-06 r 1
2019-10-26 2458782.84969 18.3338 0.0260 1m0-06 r 1
2019-10-26 2458782.85248 18.2678 0.0360 1m0-06 i 1
2019-10-26 2458782.85510 18.0635 0.0300 1m0-06 i 1
2019-10-29 2458785.79888 18.8932 0.0175 1m0-08 B 1
2019-10-29 2458785.80266 18.8613 0.0163 1m0-08 B 1
2019-10-29 2458785.80665 18.3636 0.0189 1m0-08 V 1
2019-10-29 2458785.80927 18.3510 0.0189 1m0-08 V 1
2019-10-29 2458785.81207 18.5602 0.0092 1m0-08 g 1
2019-10-29 2458785.81584 18.5515 0.0092 1m0-08 g 1
2019-10-29 2458785.81979 18.0874 0.0130 1m0-08 r 1
2019-10-29 2458785.82241 18.2303 0.0210 1m0-08 r 1
2019-10-29 2458785.82520 18.1018 0.0190 1m0-08 i 1
2019-10-29 2458785.82782 18.0914 0.0290 1m0-08 i 1
2019-10-29 2458785.84371 18.8595 0.0195 1m0-08 B 1
2019-10-29 2458785.84748 18.8299 0.0203 1m0-08 B 1
2019-10-29 2458785.85142 18.3341 0.0268 1m0-08 V 1
2019-10-29 2458785.85403 18.3158 0.0176 1m0-08 V 1
2019-10-29 2458785.85682 18.4844 0.0111 1m0-08 g 1
2019-10-29 2458785.86062 18.7621 0.0570 1m0-08 g 1
2019-10-29 2458785.86719 18.1647 0.0720 1m0-08 r 1
2019-10-29 2458785.86997 18.1636 0.0270 1m0-08 i 1
2019-10-29 2458785.87260 18.0234 0.0270 1m0-08 i 1
2019-11-01 2458789.00834 18.7757 0.0250 1m0-11 B 1
2019-11-01 2458789.01212 18.7888 0.0218 1m0-11 B 1
2019-11-01 2458789.01608 18.3141 0.0234 1m0-11 V 1
2019-11-01 2458789.01871 18.3261 0.0303 1m0-11 V 1
2019-11-01 2458789.02152 18.5446 0.0161 1m0-11 g 1
2019-11-01 2458789.02531 18.4535 0.0142 1m0-11 g 1
2019-11-01 2458789.02926 17.9837 0.0170 1m0-11 r 1
2019-11-01 2458789.03188 18.0631 0.0180 1m0-11 r 1
2019-11-01 2458789.03469 18.0221 0.0210 1m0-11 i 1
2019-11-01 2458789.03731 17.9988 0.0270 1m0-11 i 1
2019-11-04 2458791.67384 19.4124 0.1985 1m0-06 B 1
2019-11-04 2458791.67762 19.2534 0.1457 1m0-06 B 1
2019-11-04 2458791.68157 18.5899 0.0177 1m0-06 V 1
2019-11-04 2458791.68419 18.5516 0.0190 1m0-06 V 1
2019-11-04 2458791.68700 18.8535 0.0102 1m0-06 g 1
2019-11-04 2458791.69077 18.8045 0.0102 1m0-06 g 1
2019-11-04 2458791.69473 18.3064 0.0170 1m0-06 r 1
2019-11-04 2458791.69738 18.2730 0.0180 1m0-06 r 1
2019-11-04 2458791.70018 18.1095 0.0210 1m0-06 i 1
2019-11-04 2458791.70282 18.2527 0.0240 1m0-06 i 1
2019-11-07 2458794.97938 19.3372 0.0586 1m0-11 B 1
2019-11-07 2458794.98316 19.4356 0.0655 1m0-11 B 1
2019-11-07 2458794.98710 18.5245 0.0694 1m0-11 V 1
2019-11-07 2458794.98974 18.7685 0.0920 1m0-11 V 1
2019-11-07 2458794.99253 19.0275 0.0434 1m0-11 g 1
2019-11-07 2458794.99631 19.0340 0.0374 1m0-11 g 1
2019-11-07 2458795.00028 18.3376 0.0540 1m0-11 r 1
2019-11-07 2458795.00291 18.3453 0.0490 1m0-11 r 1
