###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58295.588445  20.336  0.829    27   22 o  0   1.16   2.19813  -8.98482  4038.46  7156.25 3.22 2.90 -83.0 -0.438 18.76 19.86 01a58295o0726o
58295.602612  20.058  0.684    34   24 o  0   0.88   2.19813  -8.98482  4015.58  7116.70 3.50 3.33 -82.0 -0.409 18.75 20.05 01a58295o0752o
58295.613702 -20.942  1.458   -15   22 o  0   0.97   2.19813  -8.98482  4078.92  7193.53 3.33 2.90 -83.1 -0.434 18.76 19.88 01a58295o0771o
58295.623835 -19.177  2.762   -78  214 o  0   1.16   2.19813  -8.98482  4089.82  7076.31 3.19 2.95 -79.4 -0.599 17.29 17.82 01a58295o0789o
58298.555901 -20.586  0.995   -21   21 o  0   1.27   2.19813  -8.98482  4800.53  2099.51 2.26 2.04   3.6 -0.450 18.68 19.19 02a58298o0486o
58298.563834 -19.598  0.382   -53   20 o  0   0.97   2.19813  -8.98482  4818.65  2138.27 2.20 1.99 -53.5 -0.429 18.78 19.24 02a58298o0503o
58298.571798 -21.734  2.397    -7   18 o  0   1.45   2.19813  -8.98482  4761.82  2060.52 2.36 2.16 -50.2 -0.416 18.76 19.28 02a58298o0520o
58298.579686  20.899  1.167    16   18 o  0   1.29   2.19813  -8.98482  4743.01  2176.50 2.15 2.02 -62.0 -0.448 18.85 19.34 02a58298o0537o
58322.630951  19.221  0.655    74   49 o  0   1.15   2.19813  -8.98482  4820.85  5521.82 2.43 2.16 -54.5 -0.409 17.73 17.95 02a58322o0823o
58323.541600  18.128  3.847   204  783 o  0   1.04   2.19813  -8.98482  4175.17  7425.87 2.87 2.69 -68.6 -0.503 15.31 16.07 01a58323o0625o
58323.549943  16.007  1.921  1436 2757 o  0   0.87   2.19813  -8.98482  4155.12  7387.23 2.82 2.69 -62.0 -0.497 14.01 15.00 01a58323o0643o
58323.567063  21.137  3.789    13   48 o  0   1.37   2.19813  -8.98482  4228.86  7348.26 2.87 2.74 -45.8 -0.458 17.72 19.10 01a58323o0680o
58324.548182  24.069 22.250     1   19 o  0   1.26   2.19813  -8.98482  7475.28  5526.89 3.52 2.79 -85.4 -0.428 18.93 20.03 01a58324o0654o
58324.559105  19.794  0.405    44   18 o  0   1.36   2.19813  -8.98482  7452.69  5486.72 3.59 2.73 -85.5 -0.430 18.95 20.09 01a58324o0675o
58324.569636  21.051  1.297    14   18 o  0   1.09   2.19813  -8.98482  7508.26  5562.56 3.54 2.77 -85.7 -0.438 19.02 20.19 01a58324o0696o
58324.579780 -22.469  4.294    -4   16 o  0   1.02   2.19813  -8.98482  7522.98  5445.76 3.53 2.84 -86.0 -0.431 19.07 20.41 01a58324o0717o
58325.531289  21.380  2.068    10   21 o  0   0.74   2.19813  -8.98482  3031.70  2492.47 2.01 1.87 -34.5 -0.423 18.98 19.37 02a58325o0563o
58325.537693  21.170  1.572    12   19 o  0   0.56   2.19813  -8.98482  3049.30  2531.89 2.09 1.86 -41.7 -0.427 18.94 19.40 02a58325o0576o
58325.545656  21.618  1.500     8   12 o  0   2.33   2.19813  -8.98482  2989.55  2454.99 2.00 1.85 -40.9 -0.438 18.98 19.42 02a58325o0592o
58325.557059  19.600  0.256    52   13 o  0   1.61   2.19813  -8.98482  2970.27  2572.31 1.98 1.85 -44.2 -0.444 19.02 19.49 02a58325o0609o
58326.539193  19.923  0.709    39   28 o  0   0.93   2.19813  -8.98482  5357.97  4739.42 2.28 1.98 -45.9 -0.470 18.59 19.01 02a58326o0619o
58326.547794  20.952  2.293    15   35 o  0   0.93   2.19813  -8.98482  5375.38  4778.35 2.34 1.98 -48.4 -0.496 18.25 18.67 02a58326o0637o
58326.555813  19.946  0.843    38   32 o  0   1.51   2.19813  -8.98482  5316.13  4700.91 2.36 1.97 -50.7 -0.470 18.23 18.43 02a58326o0654o
