###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58205.452780 -19.875  1.027   -41   42 o  0   1.24 183.04289  13.24918  7180.68  9182.98 5.14 3.59 -81.1 -0.322 18.47 19.54 01a58205o0305o
58205.458194 -16.718  0.088  -746   66 o  0   6.28 183.04289  13.24918  7202.55  9244.92 5.18 3.36 -73.5 -0.330 18.12 19.35 01a58205o0315o
58205.473114 -22.410 11.182    -4   44 o  0   1.18 183.04289  13.24918  7133.59  9226.91 5.06 3.60 -79.1 -0.327 18.44 19.43 01a58205o0341o
58205.482128 -21.041  2.421   -14   34 o  0   1.26 183.04289  13.24918  7120.96  9381.38 5.09 3.62 -79.4 -0.321 18.44 19.43 01a58205o0357o
58206.428646  21.613  3.649     8   30 o  0   1.90 183.04289  13.24918  8049.43 10017.26 2.21 2.00  23.5 -0.524 18.44 18.74 02a58206o0455o
58206.429999 -19.443  0.573   -61   35 o  0   1.13 183.04289  13.24918  8029.90  9978.75 2.21 2.01  21.2 -0.463 18.46 18.74 02a58206o0457o
58206.448698 -19.997  0.984   -36   36 o  0   1.07 183.04289  13.24918  8085.93 10063.16 2.23 2.06  32.9 -0.498 18.48 18.74 02a58206o0492o
58206.457544 -22.305  9.829    -4   43 o  0   1.02 183.04289  13.24918  8104.45  9945.25 2.20 2.00  20.3 -0.434 18.47 18.76 02a58206o0510o
58213.468413  21.850  2.938     7   19 o  0   0.87 183.04289  13.24918  3700.22  8081.97 3.24 2.85 -81.3 -0.440 19.08 20.42 01a58213o0447o
58213.480186  21.391  1.881    10   19 o  0   1.16 183.04289  13.24918  3727.00  8167.40 3.47 3.14 -79.5 -0.430 18.97 20.38 01a58213o0469o
58213.496924  20.733  1.162    18   22 o  0   0.95 183.04289  13.24918  3682.10  8154.63 3.57 3.22 -82.2 -0.409 18.94 20.28 01a58213o0503o
58213.503978  22.907  9.571     2   24 o  0   1.13 183.04289  13.24918  3668.92  8296.89 4.20 3.96 -84.8 -0.383 18.64 20.24 01a58213o0517o
58221.461915 -21.895  2.067    -6   13 o  0   1.14 183.04289  13.24918  5158.73  7157.07 3.39 2.82 -86.1 -0.432 19.36 21.12 01a58221o0226o
58221.473293  21.570  1.512     9   13 o  0   1.16 183.04289  13.24918  5187.81  7239.22 3.40 2.74 -84.2 -0.433 19.37 21.10 01a58221o0248o
58221.483860 -22.461  3.937    -4   15 o  0   1.19 183.04289  13.24918  5139.89  7201.89 3.64 2.91 -82.4 -0.424 19.27 21.01 01a58221o0269o
58221.495178  21.219  1.296    12   15 o  0   0.81 183.04289  13.24918  5130.27  7358.85 3.49 2.79 -85.9 -0.433 19.30 20.98 01a58221o0291o
58226.459370 -20.110  0.719   -33   24 c  0   1.48 183.04289  13.24918  9413.97 10347.63 2.89 2.61  39.2 -0.392 18.60 20.23 02a58226o0294c
58226.469944  22.996 11.833     2   27 c  0   1.27 183.04289  13.24918  9393.60 10307.33 2.95 2.67  33.8 -0.420 18.76 20.40 02a58226o0316c
58226.480958 -19.993  0.714   -36   26 c  0   1.70 183.04289  13.24918  9451.16 10387.08 2.91 2.59  29.9 -0.384 18.55 20.12 02a58226o0339c
58226.491313 -20.600  1.878   -21   39 c  0   1.43 183.04289  13.24918  9469.29 10268.53 3.02 2.74  29.0 -0.406 18.33 19.94 02a58226o0361c
58227.433809 -21.187  1.254   -12   15 c  0   0.98 183.04289  13.24918   382.66 10277.70 2.76 2.49   5.1 -0.414 19.29 21.04 02a58227o0261c
58227.440075 -22.274  2.917    -4   13 c  0   1.28 183.04289  13.24918  5291.49   568.31 2.70 2.47  45.5 -0.430 19.41 21.17 02a58227o0273c
58227.442544   0.000 21.059     0   14 c  0   1.18 183.04289  13.24918 10027.71 10298.24 2.84 2.61  35.9 -0.404 19.41 21.21 02a58227o0277c
58227.443014  20.388  0.581    25   15 c  0   0.97 183.04289  13.24918   365.86 10239.05 2.77 2.39   8.6 -0.418 19.32 21.09 02a58227o0278c
58227.444385  23.470 11.286     2   17 c  0   0.87 183.04289  13.24918  5273.77   527.94 2.78 2.54  49.0 -0.428 19.28 21.09 02a58227o0281c
58227.458194 -20.672  1.971   -20   38 c  0   1.05 183.04289  13.24918   421.04 10314.56 2.76 2.46   8.0 -0.427 18.21 19.81 02a58227o0311c
58227.459107  21.184  3.917    12   48 c  0   0.99 183.04289  13.24918 10008.19 10256.66 2.87 2.61  35.3 -0.407 17.70 19.34 02a58227o0313c
58227.462844  19.619  0.622    52   32 c  0   1.05 183.04289  13.24918 10067.44 10338.50 3.12 2.78  51.2 -0.393 18.53 20.21 02a58227o0320c
58227.463366  21.400  2.187    10   22 c  0   1.31 183.04289  13.24918   442.47 10196.64 2.80 2.46   6.5 -0.377 18.73 20.36 02a58227o0321c
58227.464278  21.587  2.889     8   24 c  0   0.94 183.04289  13.24918  5331.12   606.05 2.77 2.49  43.1 -0.414 18.80 20.43 02a58227o0323c
58227.475376 -17.881  0.414  -256  106 c  0   1.04 183.04289  13.24918  5349.91   488.73 2.74 2.50  44.8 -0.422 17.34 18.84 02a58227o0347c
58227.476751  18.583  0.710   134   95 c  0   1.33 183.04289  13.24918 10083.69 10218.61 2.99 2.70  33.4 -0.382 17.43 19.08 02a58227o0350c
58231.406261  21.134  1.273    13   16 o  0   0.69 183.04289  13.24918  4652.73   272.19 2.28 2.05  41.6 -0.435 19.40 20.39 02a58231o0384o
58231.407186 -21.849  2.268    -7   15 o  0   0.89 183.04289  13.24918  9396.32  9989.75 2.31 2.07  27.7 -0.456 19.44 20.38 02a58231o0386o
58231.409935 -21.550  1.803    -9   16 o  0   0.82 183.04289  13.24918  9377.55  9950.83 2.35 2.14  22.2 -0.444 19.41 20.38 02a58231o0390o
58231.411986  20.238  0.491    29   14 o  0   0.90 183.04289  13.24918  4635.13   233.46 2.31 2.05  40.8 -0.449 19.37 20.36 02a58231o0394o
58231.424926 -22.411  3.730    -4   15 o  0   0.97 183.04289  13.24918  4712.45   312.61 2.22 2.03  36.0 -0.464 19.41 20.35 02a58231o0421o
58231.431315  20.515  0.717    23   16 o  0   1.10 183.04289  13.24918  9438.31 10031.54 2.42 2.10  32.7 -0.415 19.32 20.23 02a58231o0433o
58231.432710 -21.591  1.736    -8   15 o  0   1.48 183.04289  13.24918  4733.88   194.10 2.33 2.07  35.9 -0.449 19.34 20.19 02a58231o0436o
58231.445248  20.828  1.014    17   17 o  0   0.83 183.04289  13.24918  9456.28  9912.23 2.42 2.07  32.1 -0.429 19.32 20.23 02a58231o0462o
58243.401661  19.244  0.424    73   31 o  0   1.05 183.04289  13.24918  5340.69  3389.00 1.98 1.94 -82.2 -0.468 18.43 19.04 02a58243o0364o
58243.413463 -21.347  0.918   -10   10 o  0   1.77 183.04289  13.24918  5323.01  3350.10 2.03 1.96  84.8 -0.449 19.38 20.25 02a58243o0386o
58243.425550  21.923  7.737     6   48 o  0   1.38 183.04289  13.24918  5379.55  3427.09 2.05 2.01 -85.0 -0.507 17.76 18.34 02a58243o0409o
58243.436510  22.760  5.033     3   14 o  0   1.07 183.04289  13.24918  5417.50  3310.50 2.00 1.97 -76.5 -0.465 19.28 20.09 02a58243o0431o
58248.391292 -22.320  3.882    -4   17 o  0   1.10 183.04289  13.24918  9583.72   801.23 3.43 3.16 -79.1 -0.426 19.15 20.81 01a58248o0109o
58248.401917 -21.357  1.550   -10   16 o  0   1.16 183.04289  13.24918  9610.24   880.99 3.40 3.16 -60.9 -0.416 19.16 20.82 01a58248o0131o
58248.412615 -20.967  1.131   -15   17 o  0   1.12 183.04289  13.24918  9559.98   844.28 3.41 3.07 -78.9 -0.429 19.19 20.82 01a58248o0153o
58248.423838 -20.993  1.310   -15   19 o  0   0.86 183.04289  13.24918  9549.40  1003.11 3.44 3.05 -80.5 -0.428 19.15 20.70 01a58248o0176o
58251.395520  21.967  1.304     6    8 c  0   1.14 183.04289  13.24918  2433.90  2674.21 2.55 2.44  67.2 -0.390 19.75 21.65 02a58251o0366c
58251.406637  21.148  0.719    13    9 c  0   0.88 183.04289  13.24918  2415.77  2634.74 2.56 2.46  39.4 -0.392 19.73 21.62 02a58251o0389c
58251.496237 -22.498  3.875    -4   14 c  0   0.67 183.04289  13.24918  4314.90  1863.39 2.57 2.45 -72.8 -0.390 19.37 21.01 02a58251o0570c
58251.504446  21.575  1.538     8   13 c  0   0.92 183.04289  13.24918  4314.95  1864.78 2.62 2.51 -67.4 -0.385 19.31 20.91 02a58251o0587c
58252.441306 -21.689  1.305    -8   10 c  0   0.86 183.04289  13.24918  4322.06  1857.60 2.50 2.42  61.0 -0.392 19.62 21.29 02a58252o0432c
58252.463383   0.000 21.315     0   11 c  0   0.95 183.04289  13.24918  4321.44  1856.37 2.57 2.50  79.4 -0.397 19.50 21.18 02a58252o0477c
58252.478785 -20.982  0.697   -15   10 c  0   1.38 183.04289  13.24918  4319.52  1858.67 2.60 2.52  66.6 -0.386 19.44 21.06 02a58252o0507c
58252.491832 -20.668  0.556   -20   11 c  0   1.38 183.04289  13.24918  4316.82  1880.85 2.62 2.55  76.4 -0.384 19.36 20.96 02a58252o0532c
58253.252493 -21.644  1.950    -8   16 c  0   0.65 183.04289  13.24918  6121.88  8577.21 3.17 3.12 -43.9 -0.390 19.45 21.28 02a58253o0007c
58253.260063  20.635  1.000    20   20 c  0   1.06 183.04289  13.24918  6176.33  8596.98 2.95 2.90 -36.9 -0.406 18.89 20.71 02a58253o0021c
58253.267007 -18.662  0.504  -124   63 c  0   0.97 183.04289  13.24918  6098.93  8518.78 2.88 2.85 -67.0 -0.408 17.77 19.57 02a58253o0036c
58253.375927 -20.442  1.164   -24   28 o  0   0.88 183.04289  13.24918  6097.71  9326.65 3.74 3.01 -83.6 -0.433 18.78 20.33 01a58253o0312o
58253.387263 -21.252  1.865   -12   21 o  0   0.74 183.04289  13.24918  6145.82  9409.11 3.88 3.17 -82.3 -0.418 19.08 20.70 01a58253o0334o
58253.398845 -22.038  3.421    -6   19 o  0   1.08 183.04289  13.24918  6079.50  9374.29 3.91 3.09 -84.0 -0.414 19.14 20.75 01a58253o0357o
58253.409707 -20.519  0.835   -22   19 o  0   1.03 183.04289  13.24918  6072.03  9530.70 3.92 3.14 -81.3 -0.417 19.22 20.77 01a58253o0379o
58255.388686  22.960  3.294     2    8 c  0   1.63 183.04289  13.24918  3055.12  1621.85 2.53 2.36  49.8 -0.422 19.63 21.51 02a58255o0087c
58255.399811  22.776  4.923     3   14 c  0   1.28 183.04289  13.24918  3037.34  1582.76 2.57 2.38  45.5 -0.420 19.19 20.98 02a58255o0110c
58255.410940  20.431  0.782    24   19 c  0   1.60 183.04289  13.24918  3113.44  1658.56 2.57 2.42  54.3 -0.417 18.73 20.52 02a58255o0133c
58257.352140 -20.989  0.914   -15   13 o  0   1.18 183.04289  13.24918  4908.52  7501.63 3.31 2.83 -86.8 -0.438 19.31 21.01 01a58257o0259o
58257.363217 -20.541  0.579   -22   13 o  0   1.35 183.04289  13.24918  4935.80  7582.97 3.29 2.79 -88.4 -0.442 19.34 20.97 01a58257o0280o
58257.379571  22.032  2.333     6   13 o  0   1.18 183.04289  13.24918  4891.71  7567.71 3.31 2.77 -86.5 -0.439 19.34 20.95 01a58257o0313o
58257.387074 -20.967  0.970   -15   14 o  0   1.16 183.04289  13.24918  4877.67  7711.24 3.51 2.87 -85.9 -0.432 19.27 20.93 01a58257o0328o
58259.353667  23.404  9.250     2   15 c  0   0.81 183.04289  13.24918  5954.55  1530.40 2.60 2.48 -86.3 -0.395 19.37 20.78 02a58259o0027c
58259.365712  20.780  0.740    18   13 c  0   0.75 183.04289  13.24918  5934.64  1492.05 2.59 2.54 -89.0 -0.406 19.38 20.77 02a58259o0049c
58259.380220  21.754  1.686     7   12 c  0   1.63 183.04289  13.24918  5993.03  1568.38 2.66 2.54  49.1 -0.411 19.36 20.76 02a58259o0077c
58259.391768 -20.969  1.133   -15   17 c  0   0.67 183.04289  13.24918  6012.35  1451.87 2.88 2.75  41.0 -0.404 19.27 20.76 02a58259o0102c
58261.330037 -22.531 10.500    -4   37 o  0   1.16 183.04289  13.24918  4887.43  7846.24 3.12 2.82 -89.9 -0.441 18.51 19.44 01a58261o0168o
58261.341679 -20.454  1.571   -24   38 o  0   0.98 183.04289  13.24918  4912.74  7929.48 3.26 3.00 -82.0 -0.425 18.48 19.48 01a58261o0190o
58261.353175  20.602  2.176    21   45 o  0   1.20 183.04289  13.24918  4863.94  7897.53 3.46 2.99 -89.3 -0.433 18.46 19.38 01a58261o0211o
58261.365296  24.346 79.333     1   53 o  0   0.80 183.04289  13.24918  4853.62  8058.57 3.38 2.91 -88.7 -0.446 18.42 19.31 01a58261o0233o
