HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459218.071,2021-01-03.5656565,bB,2.03,17.883,>17.883,99.99,0.062,0.051,g
2459220.833,2021-01-06.3271156,bF,1.54,17.612,>17.612,99.99,-0.104,0.065,g
2459221.948,2021-01-07.4422527,br,1.4,18.269,>18.269,99.99,0.061,0.036,g
2459222.741,2021-01-08.2356251,bj,1.59,18.171,>18.171,99.99,0.049,0.039,g
2459228.892,2021-01-14.3860592,bB,2.31,19.283,>19.283,99.99,-0.064,0.014,g
2459230.627,2021-01-16.1208615,br,1.48,19.203,>19.203,99.99,-0.001,0.015,g
2459234.484,2021-01-19.9780946,bn,1.58,18.245,>18.245,99.99,-0.013,0.037,g
2459235.514,2021-01-21.0078979,bn,1.61,18.248,>18.248,99.99,0.039,0.036,g
2459236.744,2021-01-22.2380818,bj,1.61,18.395,>18.395,99.99,-0.095,0.032,g
2459237.93,2021-01-23.4243958,br,1.44,19.004,>19.004,99.99,-0.039,0.018,g
2459244.81,2021-01-30.3044907,bB,2.07,17.546,>17.546,99.99,0.046,0.07,g
2459245.833,2021-01-31.3278946,br,1.52,17.588,>17.588,99.99,0.316,0.067,g
2459249.517,2021-02-04.0116559,bn,1.52,17.453,>17.453,99.99,0.093,0.076,g
2459251.849,2021-02-06.3440863,bB,2,18.747,>18.747,99.99,0.043,0.023,g
2459251.931,2021-02-06.4256445,br,2.11,18.214,>18.214,99.99,0.053,0.038,g
2459252.763,2021-02-07.2574212,bj,1.56,18.103,>18.103,99.99,-0.105,0.042,g
2459255.423,2021-02-09.9182788,bn,1.46,18.532,>18.532,99.99,0.021,0.028,g
2459256.931,2021-02-11.4253910,bB,2.03,19.194,>19.194,99.99,-0.014,0.015,g
2459258.894,2021-02-13.3884930,bB,2.05,19.138,>19.138,99.99,0.008,0.016,g
2459264.471,2021-02-18.9661373,bn,1.5,18.23,>18.230,99.99,0.131,0.037,g
2459267.703,2021-02-22.1988466,bj,1.61,17.267,>17.267,99.99,-0.079,0.09,g
2459274.682,2021-03-01.1777091,bj,1.61,17.073,>17.073,99.99,0.098,0.108,g
2459275.603,2021-03-02.0985546,bj,1.6,17.579,>17.579,99.99,-0.05,0.068,g
2459277.689,2021-03-04.1850355,bF,1.55,17.371,>17.371,99.99,0.275,0.082,g
2459278.688,2021-03-05.1842391,bF,1.58,17.774,>17.774,99.99,0.073,0.056,g
2459292.741,2021-03-19.2378630,bB,2.18,19.004,>19.004,99.99,-0.075,0.018,g
2459293.788,2021-03-20.2848994,br,1.51,19.033,>19.033,99.99,0.017,0.018,g
2459294.287,2021-03-20.7839520,bn,1.55,18.118,>18.118,99.99,-0.066,0.041,g
2459305.761,2021-04-01.2595289,bB,2.15,18.801,>18.801,99.99,0.106,0.022,g
2459306.727,2021-04-02.2256054,br,1.43,18.563,>18.563,99.99,0.109,0.027,g
2459309.739,2021-04-05.2376186,br,1.41,18.366,18.147,0.179,0.2,0.033,g
2459314.743,2021-04-10.2426180,bB,2.11,18.857,>18.857,99.99,0.023,0.021,g
2459317.833,2021-04-13.3324693,bB,2.1,18.722,17.867,0.099,0.259,0.024,g
2459319.806,2021-04-15.3053173,bB,2.05,18.813,18.116,0.115,0.206,0.022,g
2459322.798,2021-04-18.2980837,bB,2.09,18.397,>18.397,99.99,0.137,0.032,g
2459327.735,2021-04-23.2350035,bB,2.24,17.304,>17.304,99.99,0.299,0.087,g
2459329.767,2021-04-25.2672268,bB,2.45,17.397,>17.397,99.99,0.145,0.08,g
2459332.53,2021-04-28.0307837,bj,1.67,16.887,>16.887,99.99,0.16,0.128,g
2459334.514,2021-04-30.0149099,bj,1.64,18.154,>18.154,99.99,-0.023,0.04,g
2459345.455,2021-05-10.9573521,bj,1.77,17.023,>17.023,99.99,0.065,0.113,g
2459347.737,2021-05-13.2389349,bB,2.19,17.213,>17.213,99.99,0.16,0.095,g
2459363.454,2021-05-28.9576771,bF,1.56,17.445,>17.445,99.99,-0.046,0.076,g
2459466.116,2021-09-08.6201943,bB,2.22,18.457,>18.457,99.99,-0.033,0.03,g
2459466.969,2021-09-09.4731346,br,1.44,17.67,>17.670,99.99,0.177,0.062,g
2459468.115,2021-09-10.6191592,bB,1.99,18.678,>18.678,99.99,0.001,0.025,g
2459476.107,2021-09-18.6105446,bB,2.16,17.724,>17.724,99.99,-0.056,0.059,g
2459480.086,2021-09-22.5891726,bB,2.03,17.575,>17.575,99.99,-0.045,0.068,g
2459482.079,2021-09-24.5813715,bB,2.04,17.711,>17.711,99.99,0.031,0.06,g
2459491.932,2021-10-04.4336409,br,1.4,18.814,>18.814,99.99,0.003,0.022,g
2459494.053,2021-10-06.5549565,bB,1.99,18.767,>18.767,99.99,-0.022,0.023,g
2459499.117,2021-10-11.6175768,bB,2.07,18.723,>18.723,99.99,0.007,0.024,g
2459500.937,2021-10-13.4378712,br,1.47,18.617,>18.617,99.99,0.061,0.026,g
2459506.876,2021-10-19.3765424,bj,1.53,16.918,>16.918,99.99,0.035,0.124,g
2459507.973,2021-10-20.4728319,br,1.46,17.402,>17.402,99.99,0.223,0.08,g
