SN_ID,m1_g,m2_g,m3_g,b2_g,a1_g,a2_g,log_f_g,m1_r,m2_r,m3_r,b2_r,a1_r,a2_r,log_f_r
snztf18,-0.9016626989189288,0.2772552247173995,-0.047457706671592825,-3.763877258504028,7.0567915666129,13.30093911633367,-3.444329275427575,-1.3767190506618046,0.1440166490359035,-0.054907062989358796,-2.1275551628156615,8.01223463378813,16.75496149727042,-3.120560704702259
sn19rwd,-0.4128782884748463,0.15873839261142683,-0.02515657013737344,-1.717002870902063,8.664485038223885,16.22504361072514,-1.933946751397675,-0.34230045196426984,0.11461204451115657,-0.02252423983583318,-1.1521570697429449,9.052380117977863,14.603084865764613,-1.6897064189796873
sn20ano,,0.3965039124634679,-0.09181635231570907,-4.706282811971412,,14.960202443987349,-0.9807953313518074,-0.56265364042942,0.34107595092120613,-0.07295901751041203,-4.070019392222617,9.367781706875295,14.444393304466784,-2.7102176951362518
sn20bio,-0.2537618012809239,0.25258335377468744,-0.11037328205005037,-1.7253930856711466,11.685307604738506,15.809436015428705,1.931872246958099,-0.20024773143889507,0.3384790294541122,-0.06678184994179098,-3.2891882669988433,9.562855256752616,17.25189996725606,-3.0689426921265324
sn20ikq,-0.8639439147459961,0.12706832453908365,-0.0009445961680914793,-1.5496351371242971,2.5177956125405627,15.199523193245858,-0.838203549374583,-0.5083104285182936,0.04133897770240671,-0.000986715671939884,-0.7562694094612179,2.433638685584319,16.292967533628207,-1.224401306752962
sn20rsc,-1.3595828837874147,0.38528422858032674,-0.0102640629383094,-4.709277768834538,10.14702391049304,17.88295716146628,-1.354018760662227,-0.5227475575735991,0.3058784707634768,-0.008538057453376748,-2.6724545870726533,10.626375715157511,17.02418727784274,0.5469623066359024
sn21gno,-1.0945279205499505,0.2267294523243971,-0.07319708150718954,-1.645224591671565,10.079688056812403,14.430730155468861,-1.1031661470092369,-0.8960782427326505,0.2590331918493464,-0.10019779193061683,-0.7079104371960854,10.659669822165382,13.82889912768997,-2.410633442330659
sn21heh,-0.4868582090304394,0.1968919937867459,-0.048231313918896145,-2.2151318057878915,5.168945938600316,15.329652107777479,-0.9128472684462118,-0.08075843707051633,0.15400329448932987,-0.04804542522171065,-2.485307233736234,5.2526180666008555,14.42680657739009,-2.1690675442660883
sn21pb,,0.27742415162927614,-0.09151955044990417,-2.741668380979507,,14.099315861507824,-1.2284020842705083,-0.5371658048556811,0.21011010107569794,-0.0906281042064966,-1.778579738946054,9.459133500459433,15.004144606458075,-1.1816664921622901
sn21vgn,-0.7610909748008324,0.23073544795751555,-0.05477233616999377,-2.0898559006821062,7.368443383107711,14.047569660478752,-1.2548065400196575,-1.2841649449864851,0.21389661991492906,-0.04990540155781017,-1.5523146392274896,7.426638162343351,13.82320181799176,-0.14719201971739782
sn22hnt,,0.3845372098604772,-0.12530623905260913,-4.046695559003035,,14.416993715425301,-1.2764209363222003,-0.576411419020967,0.3371001503756007,-0.11501949744207493,-3.8310715638778903,9.412415590585274,13.641276100705268,-2.3287881790156457
sn22jpx,,0.2680790939820428,-0.01593829251167152,-1.4376595707334463,,14.257854316341238,0.6273511198472401,-0.7201692790528303,0.10500195251784598,-0.03561948699879382,-1.2819404909872611,5.438170590695403,13.715501393980748,-1.6277031722095139
sn22qzr,,0.25331733921222177,-0.1436979955245743,-3.7327928918168856,,15.163045303567603,-2.169146932178884,-1.0035175970957795,0.37521696882444533,-0.1311903078640647,-4.120619631955421,8.65428686071864,13.090286598890627,-2.771457275478073
