JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin,max_ztf_err,mag_err_all,norm_t,norm_m
2458877.110196,c,21.301,,,0.866,atlas,,0.866,7.007102999836206,3.814
2458877.117418,c,21.209,,,0.87,atlas,,0.87,7.014324999880046,3.7220000000000013
2458877.128083,c,20.931,,,0.632,atlas,,0.632,7.024989999830723,3.4440000000000026
2458877.172399,c,20.483,,,1.178,atlas,,1.178,7.069305999670178,2.996000000000002
2458879.02677,o,16.412,,,0.015,atlas,,0.015,8.923676999751478,-1.0749999999999993
2458879.030056,o,16.469,,,0.016,atlas,,0.016,8.926963000092655,-1.0179999999999971
2458879.039594,o,16.441,,,0.019,atlas,,0.019,8.936501000076532,-1.0459999999999994
2458879.047207,o,16.435,,,0.016,atlas,,0.016,8.94411400007084,-1.0519999999999996
2458879.050002,o,16.406,,,0.016,atlas,,0.016,8.9469089997001,-1.0809999999999995
2458883.039287,o,17.318,,,0.029,atlas,,0.029,12.936193999834359,-0.16899999999999693
2458883.042717,o,17.325,,,0.031,atlas,,0.031,12.939623999875039,-0.16199999999999903
2458883.05382,o,17.29,,,0.033,atlas,,0.033,12.950726999901235,-0.19699999999999918
2458883.059196,o,17.304,,,0.034,atlas,,0.034,12.956102999858558,-0.18299999999999983
2458885.092855,c,17.5,,,0.033,atlas,,0.033,14.989761999808252,0.013000000000001677
2458885.095686,c,17.548,,,0.033,atlas,,0.033,14.992592999711633,0.06099999999999994
2458885.103093,c,17.487,,,0.029,atlas,,0.029,15.0,0.0
2458885.113586,c,17.508,,,0.03,atlas,,0.03,15.010493000037968,0.021000000000000796
2458895.035445,o,16.993,,,0.027,atlas,,0.027,24.932351999916136,-0.4939999999999998
2458895.038735,o,16.983,,,0.025,atlas,,0.025,24.93564199982211,-0.5039999999999978
2458895.045377,o,16.989,,,0.024,atlas,,0.024,24.942283999640495,-0.49799999999999756
2458895.055299,o,16.956,,,0.026,atlas,,0.026,24.95220599975437,-0.5309999999999988
