JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin,norm_t,norm_m,max_ztf_err,mag_err_all
2458965.7571065,ZTF_g,23.373926643140624,,0.916952521441921,,ztf,-1.1329234996810555,4.076926643140624,0.916952521441921,0.916952521441921
2458968.7971412,ZTF_g,18.399089435645053,0.024347859445267517,0.023813807975916035,,ztf,1.9071112000383437,-0.8979105643549481,0.024347859445267517,0.024347859445267517
2458968.8458796,ZTF_i,19.104577444386837,0.05709690477636187,0.05424370191815697,,ztf,1.9558496000245214,-0.19242255561316313,0.05709690477636187,0.05709690477636187
2458968.8707755,ZTF_r,18.766063622050005,0.03021717340598684,0.029398919367885412,,ztf,1.9807454999536276,-0.5309363779499954,0.03021717340598684,0.03021717340598684
2458971.7176968,ZTF_r,18.540160909703,0.03725820643731126,0.03602195693050447,,ztf,4.827666800003499,-0.7568390902969995,0.03725820643731126,0.03725820643731126
2458971.7955787,ZTF_g,18.30722602244568,0.031304490833960585,0.030427141164850013,,ztf,4.905548700131476,-0.9897739775543215,0.031304490833960585,0.031304490833960585
2458972.8459259,ZTF_i,18.61438118626773,0.0689489596239099,0.06483063209158146,,ztf,5.955895900260657,-0.6826188137322688,0.0689489596239099,0.0689489596239099
2458974.7056366,ZTF_g,18.656856874327463,0.07543387859326955,0.07053169282857041,,ztf,7.81560660013929,-0.6401431256725374,0.07543387859326955,0.07543387859326955
2458974.7510417,ZTF_r,18.601325428205712,0.06248365791299548,0.05908259234372437,,ztf,7.8610117002390325,-0.6956745717942887,0.06248365791299548,0.06248365791299548
2458976.8873264,ZTF_i,18.76576206597569,0.10453263933989732,0.09534639787563748,,ztf,9.997296399902552,-0.5312379340243112,0.10453263933989732,0.10453263933989732
2458977.7333565,ZTF_r,19.47902012092045,0.7586918291993996,0.44225946017769857,,ztf,10.843326500151306,0.1820201209204484,0.7586918291993996,0.7586918291993996
2458977.7646991,ZTF_r,18.77769111604959,0.07939523250640335,0.07398293119458543,,ztf,10.874669100157917,-0.5193088839504121,0.07939523250640335,0.07939523250640335
2458977.7651736,ZTF_r,18.89533632372247,0.08046506306473233,0.07491096578662493,,ztf,10.875143600162119,-0.4016636762775292,0.08046506306473233,0.08046506306473233
2458977.8371759,ZTF_g,18.87988278707077,0.15561912396041322,0.13608480200452533,,ztf,10.947145900223404,-0.4171172129292309,0.15561912396041322,0.15561912396041322
2458978.7896181,ZTF_r,18.846025465090985,0.05035258159841405,0.048120539914879856,,ztf,11.899588100146502,-0.4509745349090153,0.05035258159841405,0.05035258159841405
2458978.7900926,ZTF_r,18.930746963687803,0.05631253277041992,0.053535292378711574,,ztf,11.900062600150704,-0.3662530363121981,0.05631253277041992,0.05631253277041992
2458980.7227083,ZTF_g,19.12519221076489,0.032829619617839256,0.03186600954652974,,ztf,13.832678300328553,-0.17180778923511042,0.032829619617839256,0.032829619617839256
2458980.7516319,ZTF_r,18.983917280596582,0.03138873279808152,0.03050672100578211,,ztf,13.861601900309324,-0.31308271940341825,0.03138873279808152,0.03138873279808152
2458980.8394097,ZTF_i,18.957347512846297,0.07728485440786415,0.07214724587416654,,ztf,13.949379700236022,-0.3396524871537032,0.07728485440786415,0.07728485440786415
2458985.7050231,ZTF_g,19.169042270428356,0.03878555320281407,0.03744767933692117,,ztf,18.814993100240827,-0.1279577295716443,0.03878555320281407,0.03878555320281407
2458987.7893287,ZTF_i,19.07854745883172,0.06175954328868727,0.05843477106752104,,ztf,20.899298700038344,-0.21845254116827917,0.06175954328868727,0.06175954328868727
2458991.747338,ZTF_r,18.95441044309773,0.03423846878239445,0.03319169150035961,,ztf,24.857308000326157,-0.3425895569022721,0.03423846878239445,0.03423846878239445
2458991.8016319,ZTF_g,19.27156403984646,0.04208869829339079,0.04051783023123434,,ztf,24.91160190012306,-0.02543596015354055,0.04208869829339079,0.04208869829339079
2458965.945303,o,23.937,,,13.143,atlas,-0.944726999849081,4.640000000000001,,13.143
2458965.953588,o,22.665,,,3.583,atlas,-0.9364419998601079,3.3679999999999986,,3.583
2458965.992128,o,20.777,,,0.663,atlas,-0.8979019997641444,1.4800000000000004,,0.663
2458967.908038,c,19.007,,,0.094,atlas,1.0180080002173781,-0.28999999999999915,,0.094
2458967.910851,c,19.168,,,0.11,atlas,1.0208209999836981,-0.12900000000000134,,0.11
2458967.916165,c,19.286,,,0.125,atlas,1.026134999934584,-0.010999999999999233,,0.125
2458967.926819,c,19.249,,,0.108,atlas,1.0367890000343323,-0.04800000000000182,,0.108
2458969.905204,o,18.629,,,0.067,atlas,3.015174000058323,-0.6679999999999993,,0.067
2458969.908553,o,18.677,,,0.076,atlas,3.0185230001807213,-0.620000000000001,,0.076
2458969.913746,o,18.52,,,0.061,atlas,3.0237159999087453,-0.777000000000001,,0.061
2458969.925535,o,18.721,,,0.09,atlas,3.03550500003621,-0.5760000000000005,,0.09
2458971.900112,o,18.404,,,0.101,atlas,5.01008199993521,-0.8930000000000007,,0.101
2458971.909115,o,18.266,,,0.083,atlas,5.019085000269115,-1.0310000000000024,,0.083
2458971.912315,o,18.673,,,0.1,atlas,5.0222849999554455,-0.6240000000000023,,0.1
2458971.92748,o,18.855,,,0.139,atlas,5.037450000178069,-0.44200000000000017,,0.139
2458973.822239,o,18.645,,,0.164,atlas,6.932208999991417,-0.652000000000001,,0.164
2458973.825479,o,18.862,,,0.164,atlas,6.935448999982327,-0.4350000000000023,,0.164
2458973.828298,o,18.768,,,0.165,atlas,6.9382680002599955,-0.5289999999999999,,0.165
2458973.833383,o,18.816,,,0.149,atlas,6.943353000096977,-0.48100000000000165,,0.149
2458975.907514,o,18.727,,,0.202,atlas,9.017483999952674,-0.5700000000000003,,0.202
2458975.911136,o,18.866,,,0.216,atlas,9.021106000058353,-0.43100000000000094,,0.216
2458975.946708,o,18.669,,,0.203,atlas,9.056677999906242,-0.6280000000000001,,0.203
2458975.975224,o,18.867,,,0.219,atlas,9.085194000042975,-0.4299999999999997,,0.219
2458977.934653,o,18.709,,,0.186,atlas,11.044623000081629,-0.588000000000001,,0.186
2458977.935574,o,18.603,,,0.152,atlas,11.045543999876827,-0.6939999999999991,,0.152
2458977.938819,o,19.204,,,0.231,atlas,11.04878900013864,-0.09299999999999997,,0.231
2458977.93928,o,18.912,,,0.189,atlas,11.049250000156462,-0.38500000000000156,,0.189
2458977.943979,o,19.3,,,2.148,atlas,11.053949000313878,0.0030000000000001137,,2.148
