JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin,max_ztf_err,mag_err_all,norm_t,norm_m
2459221.8959838,ZTF_g,18.697231312752727,0.032986630700257535,0.03201391734476644,,ztf,0.032986630700257535,0.032986630700257535,9.904794799629599,-1.0487686872472715
2459221.9079398,ZTF_r,18.86509857528684,0.05641776452425873,0.053630389553042335,,ztf,0.05641776452425873,0.05641776452425873,9.91675079986453,-0.8809014247131586
2459223.8850116,ZTF_g,19.5246738972646,0.074345086923163,0.06957896934915908,,ztf,0.074345086923163,0.074345086923163,11.893822599668056,-0.2213261027354001
2459223.9520486,ZTF_r,19.442279451272174,0.08089732182178722,0.07528544872960552,,ztf,0.08089732182178722,0.08089732182178722,11.960859599988908,-0.3037205487278243
2459225.9025231,ZTF_r,19.64809314349528,0.10911531454543422,0.09914384329057313,,ztf,0.10911531454543422,0.10911531454543422,13.911334099713713,-0.09790685650471787
2459225.9508912,ZTF_g,20.0132983086798,0.1549372168437273,0.13556326594162016,,ztf,0.1549372168437273,0.1549372168437273,13.959702199790627,0.267298308679802
2459227.8711227,ZTF_r,19.43830791070436,0.06404467923409385,0.0604763632152121,,ztf,0.06404467923409385,0.06404467923409385,15.879933699965477,-0.30769208929563874
2459227.9497106,ZTF_g,19.522932731299797,0.05782140978776695,0.05489717778946357,,ztf,0.05782140978776695,0.05782140978776695,15.958521599881351,-0.223067268700202
2459229.9440741,ZTF_g,19.51135225872549,0.09101142780712834,0.08396895818995986,,ztf,0.09101142780712834,0.09101142780712834,17.952885099686682,-0.23464774127450738
2459231.868831,ZTF_r,18.944066704308835,0.04558858264784149,0.04375126754781178,,ztf,0.04558858264784149,0.04558858264784149,19.877641999628395,-0.801933295691164
2459231.882037,ZTF_g,19.264745322351946,0.05135602013114138,0.04903616506969399,,ztf,0.05135602013114138,0.05135602013114138,19.890847999602556,-0.4812546776480531
2459219.038949,o,21.215,,,1.161,atlas,,1.161,7.047759999986738,1.4690000000000012
2459219.060816,o,21.521,,,1.584,atlas,,1.584,7.069627000018954,1.7750000000000021
2459219.070974,o,20.155,,,0.426,atlas,,0.426,7.079784999601543,0.4090000000000025
2459219.106406,o,20.246,,,0.502,atlas,,0.502,7.115216999780387,0.5
2459221.052053,o,19.16,,,0.154,atlas,,0.154,9.060863999649882,-0.5859999999999985
2459221.08659,o,18.776,,,0.108,atlas,,0.108,9.095400999765843,-0.9699999999999989
2459221.089803,o,19.851,,,0.306,atlas,,0.306,9.098613999783993,0.10500000000000043
2459221.097598,o,18.984,,,0.124,atlas,,0.124,9.106408999767154,-0.7619999999999969
2459222.974005,c,19.496,,,0.154,atlas,,0.154,10.982816000003368,-0.25
2459222.977696,c,19.608,,,0.182,atlas,,0.182,10.986506999935955,-0.13799999999999812
2459222.980948,c,19.63,,,0.178,atlas,,0.178,10.989759000018239,-0.11599999999999966
2459222.985149,c,19.153,,,0.133,atlas,,0.133,10.993959999643266,-0.593
2459222.986069,c,19.214,,,0.123,atlas,,0.123,10.99487999966368,-0.532
2459222.990233,c,19.165,,,0.123,atlas,,0.123,10.999043999705464,-0.5809999999999995
2459223.000661,c,19.065,,,0.115,atlas,,0.115,11.009471999946982,-0.6809999999999974
2459223.006277,c,19.109,,,0.114,atlas,,0.114,11.015087999869138,-0.6369999999999969
2459226.991189,c,19.746,,,0.158,atlas,,0.158,15.0,0.0
2459227.012787,c,19.998,,,0.341,atlas,,0.341,15.021597999613732,0.25200000000000244
2459227.016489,c,19.784,,,0.164,atlas,,0.164,15.02529999986291,0.038000000000000256
2459227.040732,c,19.865,,,0.229,atlas,,0.229,15.049542999826372,0.11899999999999977
2459229.038008,c,19.576,,,0.199,atlas,,0.199,17.04681899957359,-0.16999999999999815
2459229.041233,c,19.422,,,0.195,atlas,,0.195,17.050043999683112,-0.32399999999999807
2459229.047183,c,19.514,,,0.205,atlas,,0.205,17.055993999820203,-0.23199999999999932
2459229.057323,c,19.061,,,0.122,atlas,,0.122,17.06613399973139,-0.6849999999999987
2459230.978885,c,19.421,,,0.135,atlas,,0.135,18.987695999909192,-0.3249999999999993
2459230.981657,c,19.297,,,0.123,atlas,,0.123,18.99046799959615,-0.44899999999999807
2459230.985808,c,19.329,,,0.114,atlas,,0.114,18.994618999771774,-0.41699999999999804
2459230.994595,c,19.317,,,0.126,atlas,,0.126,19.003405999857932,-0.4289999999999985
